Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0158553	2.96112e-06	84.8968	5354.49
1/delta	0.000149343	2.43243e-10	91.6921	613968
nu	0.0260984	4.25764e-08	15997.8	612979
SpCNT084_FJ	0.000252571	2.65968e-09	23.9849	94963.1
SpDSM45544_FJ	0.00117233	1.23576e-08	111.216	94867.3
SpCNS801_FJ	0.00130984	1.38279e-08	124.074	94724.4
StCNY681_YU	0.000526371	5.54292e-09	49.9857	94962.8
SpCNT001_FJ	0.000760733	8.01452e-09	72.2083	94919.3
SpCNY498_PV	0.00137154	1.44495e-08	130.185	94919.1
StCNS416_BA	0.000586242	6.17409e-09	55.6647	94951.8
SpCNY331_SC	0.000180772	1.90664e-09	17.1393	94811.8
SpCNT609_FJ	0.000238553	2.51255e-09	22.6494	94944.7
StCNS197_BA	0.000595915	6.28055e-09	56.5419	94882.6
SpCNS103_PL	0.0010741	1.13286e-08	101.839	94813.2
SpCNT133_FJ	0.000491709	5.17859e-09	46.688	94950.5
SpCNQ768_GU	0.00142726	1.50867e-08	135.025	94604.1
StCNT261_BA	0.00039945	4.20658e-09	37.9312	94958.5
SpCNT131_FJ	0.000701689	7.38993e-09	66.6268	94952
SpCNY666_MD	4.87688e-05	2.35664e-09	1.00923	20694.2
StCNB536_BA	0.000653295	6.89723e-09	61.879	94718.4
SpCNR510_GU	0.000723134	7.616e-09	68.661	94949.3
StCNH898_BA	0.000466874	4.91735e-09	44.327	94944.1
StCNY012_BA	0.00068228	7.19053e-09	64.7387	94885.8
SpCNY363_SC	0.00024182	2.5465e-09	22.9636	94961.6
SpDSM45548_FJ	0.00148709	1.56661e-08	141.161	94924.2
SpCNT003_FJ	0.00113188	1.19668e-08	107.059	94584.7
SpCNY202_SC	5.04115e-05	2.47397e-09	1.02722	20376.8
SpCNR114_GU	0.00104955	1.10542e-08	99.6507	94946
SpCNT569_FJ	0.00198403	2.10983e-08	186.574	94037.7
SpCNY239_FJ	0.00162776	1.71537e-08	154.463	94892.8
SpCNH732_RS	0.0011209	1.18076e-08	106.408	94930.5
SpCNT603_FJ	0.000502376	5.30101e-09	47.6102	94769.9
SpCNR942_PL	0.00184117	1.96e-08	172.955	93937.4
SpCNY330_SC	0.000254165	2.68091e-09	24.0962	94805.4
StCNB440_BA	0.000649737	6.84293e-09	61.6926	94950.1
SpCNR909_PL	0.00114506	1.20777e-08	108.561	94807.9
SpCNT855_HI	0.00165693	1.74558e-08	157.279	94921.7
StCNT250_BA	0.000834425	8.86646e-09	78.528	94110.3
StCNR699_BA	0.000478354	5.05872e-09	45.2333	94560.2
StCNY678_YU	0.000495988	5.23003e-09	47.0369	94834.6
SpCNR894_PL	0.00133274	1.42318e-08	124.805	93645.3
StCNB476_BA	0.000659219	6.94277e-09	62.5932	94950.4
SpCNS055_PL	6.2385e-05	2.98098e-09	1.30557	20927.7
NODE_43	0.000198993	2.09676e-09	18.8854	94905.1
NODE_44	0.000147409	1.55226e-09	13.9985	94963.8
NODE_45	0.000156374	1.64689e-09	14.8478	94950.6
NODE_46	0.000210565	2.21733e-09	19.996	94963.6
NODE_47	0.000157937	1.66313e-09	14.9983	94963.8
NODE_48	0.000189032	1.99061e-09	17.9509	94961.9
NODE_49	0.000157886	1.6626e-09	14.9934	94963.4
NODE_50	0.000157916	1.66292e-09	14.9963	94963.6
NODE_51	0.000105391	1.11129e-09	9.99489	94836.3
NODE_52	2.10883e-05	2.22343e-10	2.00015	94846
NODE_53	4.91555e-05	2.40688e-09	1.0039	20423
NODE_54	4.79691e-05	2.28425e-09	1.00735	21000
NODE_55	5.34513e-05	2.54694e-09	1.12175	20986.5
NODE_56	0.00437609	4.62602e-08	413.967	94597.4
NODE_57	0.000691576	2.50167e-08	19.1183	27644.6
NODE_58	0.00241324	2.54433e-08	228.89	94847.6
NODE_59	0.00286868	3.21571e-08	255.91	89208.2
NODE_60	0.000916605	2.42117e-08	34.7008	37858
NODE_61	0.000389055	4.09702e-09	36.9448	94960.5
NODE_62	0.00455	4.9906e-08	414.83	91171.4
NODE_63	0.00034717	3.65588e-09	32.9679	94962.1
NODE_64	0.000398767	4.19954e-09	37.8648	94954.8
NODE_65	0.000294706	3.10339e-09	27.9861	94962.7
NODE_66	0.00031494	3.31832e-09	29.8908	94909.6
NODE_67	0.000511271	5.4051e-09	48.3613	94590.4
NODE_68	0.000136851	1.44109e-09	12.9959	94963.6
NODE_69	0.000139791	1.47466e-09	13.2516	94795.6
NODE_70	0.000315788	3.32538e-09	29.9882	94963
NODE_71	0.000115824	1.21966e-09	10.9991	94963.9
NODE_72	0.000104975	1.10543e-09	9.96866	94962.5
NODE_73	0.00013664	1.43887e-09	12.9757	94962.8
NODE_74	0.00142477	1.50164e-08	135.185	94881.4
NODE_75	0.000295802	3.11592e-09	28.0812	94932.5
NODE_76	0.000242167	2.5501e-09	22.9971	94963.7
NODE_77	0.000642399	6.78741e-09	60.8002	94645.6
NODE_78	0.00190558	2.08567e-08	174.103	91365.3
NODE_79	0.0022283	2.43439e-08	203.966	91534.2
NODE_80	0.00647299	8.34124e-08	502.319	77602.3
NODE_81	0.000210582	2.2175e-09	19.9977	94963.7
