Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0193245	2.88297e-06	129.531	6702.96
1/delta	0.000243833	4.53572e-10	131.081	537584
nu	0.0205686	3.83306e-08	11037.3	536610
SaCNY486_PV	0.000320371	7.52518e-09	13.6392	42573.2
SaCNT005_FJ	0.00124967	2.96109e-08	52.7396	42203
SaCNQ884_GU	0.00100935	2.37489e-08	42.8983	42500.9
SaCNB527_BA	0.00150092	3.67455e-08	61.3068	40846.3
SaCNS243_PL	0.000487792	1.14559e-08	20.7702	42580.1
StCNT261_BA	0.000706413	1.67159e-08	29.8529	42259.9
SpDSM45547_FJ	0.00234672	5.66433e-08	97.2246	41429.9
SaCNY679_YU	0.000256849	6.03039e-09	10.9398	42592.4
StCNR699_BA	0.000680183	1.5969e-08	28.9717	42594
SpDSM45548_FJ	0.0011265	2.68148e-08	47.325	42010.5
SpCNS237_PL	0.000100651	1.00462e-08	1.00841	10018.8
SpCNY703_MD	0.000211228	4.95881e-09	8.99762	42596.6
StCNS197_BA	0.000643615	1.51175e-08	27.4013	42574.1
SaCNS296_PL	9.17037e-05	2.15307e-09	3.90585	42592
SaCNQ748_GU	0.00131011	3.07666e-08	55.787	42582
SpCNT001_FJ	0.00102987	2.41829e-08	43.8586	42586.7
SpCNH732_RS	0.000825137	1.9436e-08	35.0304	42454.1
SaCNY237_FJ	0.00108889	2.58424e-08	45.8814	42135.9
SaCNY234_FJ	4.69465e-05	1.10211e-09	1.99978	42597
SpCNT003_FJ	0.000798839	1.87957e-08	33.9515	42501.1
StCNH898_BA	0.000626081	1.47037e-08	26.6584	42579.8
SpCNY239_FJ	0.000861438	2.02305e-08	36.681	42581.1
SpCNY673_MD	0.000795567	1.88938e-08	33.4992	42107.4
SpCNS103_PL	0.000716437	1.68691e-08	30.4273	42470.2
SaCNS744_FJ	0.000982917	2.3081e-08	41.858	42585.5
SpCNY330_SC	0.000320441	7.52696e-09	13.642	42572.4
SpCNT584_FJ	0.000746151	1.75233e-08	31.7715	42580.5
SaCNS820_FJ	0.000641222	1.52942e-08	26.8838	41925.8
SaCNH905_BA	0.000375224	9.24572e-09	15.228	40583.6
SaCNY690_YU	0.000778321	1.83988e-08	32.9251	42302.7
SaCNH643_BA	0.000304688	7.15319e-09	12.9781	42594.7
SaCNS673_FJ	0.000269092	6.43795e-09	11.2474	41797.7
SaCNS325_PL	0.00103283	2.44874e-08	43.5629	42178.1
SpCNR894_PL	0.000686174	1.61398e-08	29.1722	42514.2
StCNT250_BA	0.000716397	1.68327e-08	30.4898	42560
SpCNR510_GU	0.000398013	9.34429e-09	16.9531	42594.2
SaCNP105_SC	0.000184442	4.33066e-09	7.85538	42589.9
SaCNX891_PM	0.0010011	2.35136e-08	42.6219	42575.2
StCNB536_BA	0.000656862	1.54212e-08	27.9788	42594.6
SaCNY685_YU	0.00124076	2.91387e-08	52.8332	42581.2
SaCNH718_RS	0.00206334	4.85533e-08	87.6848	42496.5
SaCNS205_PL	0.000210286	4.93689e-09	8.95706	42594.8
