Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0242513	1.7686e-05	33.2537	1371.22
1/delta	0.000289532	2.95631e-09	28.3559	97936.9
nu	0.032245	3.3258e-07	3126.28	96954.1
SpCNR942_PL	0.00170222	6.5951e-08	43.9349	25810.4
SpCNT569_FJ	0.00166746	6.4838e-08	42.8826	25717.3
StCNY678_YU	0.000115764	4.46776e-09	2.99955	25911
SpCNT045_FJ	0.000658429	2.5437e-08	17.0432	25884.7
StCNH898_BA	0.000821782	3.17611e-08	21.2627	25873.9
StCNS197_BA	0.000424114	1.63685e-08	10.9889	25910.3
SpCNT609_FJ	0.000499164	1.92664e-08	12.9326	25908.5
StCNR699_BA	7.71788e-05	2.97861e-09	1.99978	25911
StCNT250_BA	0.000115764	4.46777e-09	2.99956	25911
SpCNS996_FJ	0.000504905	1.95363e-08	13.049	25844.5
SpDSM45543_FJ	0.000960134	3.70637e-08	24.8722	25905
StCNB536_BA	0.000367685	1.42504e-08	9.48691	25801.8
StCNB476_BA	0.000551668	2.13095e-08	14.2817	25888.3
SpCNT084_FJ	0.000649919	2.50907e-08	16.8347	25902.8
StCNY681_YU	0.000462463	1.78487e-08	11.9825	25910.1
StCNT261_BA	7.7179e-05	2.97862e-09	1.99978	25911
SpCNY646_RS	7.59085e-05	5.74482e-09	1.00301	13213.4
SpCNT133_FJ	0.00036769	1.42631e-08	9.47867	25779
SpCNS237_PL	7.8199e-05	5.92082e-09	1.03281	13207.5
StCNS416_BA	0.000463028	1.78701e-08	11.9974	25910.8
StCNY012_BA	0.000270105	1.04244e-08	6.99865	25910.9
SpCNS860_FJ	0.00101703	3.93665e-08	26.275	25834.9
StCNB440_BA	0.000307843	1.18813e-08	7.97618	25909.9
SpCNT403_FJ	0.00188053	7.46286e-08	47.3866	25198.5
NODE_31	0.000226088	8.72899e-09	5.85589	25900.9
NODE_32	0.000346641	1.33786e-08	8.98151	25910.1
NODE_33	0.000191584	7.39437e-09	4.96383	25909.4
NODE_34	7.71786e-05	2.97861e-09	1.99977	25911
NODE_35	0.000270086	1.04237e-08	6.99814	25910.8
NODE_36	0.00041003	1.58698e-08	10.594	25837.2
NODE_37	0.000421852	1.63042e-08	10.9149	25873.9
NODE_38	0.000422079	1.6292e-08	10.9349	25907.2
NODE_39	0.000115764	4.46775e-09	2.99955	25911
NODE_40	0.000192908	7.44507e-09	4.99841	25910.8
NODE_41	0.000115763	4.46774e-09	2.99954	25911
NODE_42	7.71786e-05	2.97861e-09	1.99977	25911
NODE_43	0.0026793	1.03537e-07	69.3341	25877.7
NODE_44	0.00151832	9.66528e-08	23.8513	15709
NODE_45	0.00148028	5.74575e-08	38.1365	25763
NODE_46	0.00286611	1.28152e-07	64.1003	22364.9
NODE_47	0.066533	2.98278e-06	1484.07	22305.7
NODE_48	0.00223661	8.76049e-08	57.1022	25530.7
NODE_49	0.00096031	3.70718e-08	24.8759	25904.1
NODE_50	0.000151971	5.88072e-09	3.92729	25842.3
NODE_51	0.0039203	1.59425e-07	96.4012	24590.3
NODE_52	0.000578174	2.23151e-08	14.9802	25909.5
NODE_53	0.00300151	1.17651e-07	76.5741	25511.9
NODE_54	7.51688e-05	5.6436e-09	1.0012	13319.3
NODE_55	0.000105478	7.86139e-09	1.41522	13417.2
NODE_56	7.36513e-05	5.40007e-09	1.00453	13639
NODE_57	7.74304e-05	5.92786e-09	1.0114	13062.1
