Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0204104	1.49675e-05	27.8326	1363.65
1/delta	0.000759472	2.14941e-08	26.8352	35334
nu	0.0584337	1.70138e-06	2006.9	34345
SaCNX814_PM	0.000663857	1.58321e-08	27.8364	41931.2
SpCNY331_SC	0.00051603	1.23084e-08	21.6346	41925.1
SpCNR909_PL	0.000943958	2.25864e-08	39.4511	41793.3
SpCNS103_PL	0.00250847	6.11296e-08	102.935	41035.2
SpCNT603_FJ	0.000975065	2.32529e-08	40.8874	41933
SpCNT001_FJ	0.00104349	2.49581e-08	43.6278	41809.6
SpCNR894_PL	0.001721	4.14723e-08	71.4176	41497.7
SpCNY363_SC	0.000261916	6.24556e-09	10.9838	41936.4
SpCNY239_FJ	0.00151826	3.63296e-08	63.4502	41791.3
SpCNR510_GU	0.0012568	2.99745e-08	52.6962	41928.9
SpCNQ768_GU	0.00144219	3.44009e-08	60.4608	41922.9
SpCNT855_HI	0.00244472	5.83099e-08	102.498	41926.3
SpCNT131_FJ	0.00083243	1.98506e-08	34.9077	41934.8
SpCNH732_RS	0.00210972	5.05363e-08	88.0733	41746.5
SaCNX891_PM	0.000355963	8.48836e-09	14.9274	41935.4
SpCNT003_FJ	0.000737736	1.76919e-08	30.7629	41699.1
SpCNY330_SC	0.00105998	2.52911e-08	44.4248	41911.1
SpCNY498_PV	0.00171184	4.08265e-08	71.7766	41929.6
SaCNX481_PM	0.00088089	2.11633e-08	36.6657	41623.5
SpCNR114_GU	0.00110297	2.64221e-08	46.0424	41744.1
SaCNX482_PM	0.000505944	1.21494e-08	21.0692	41643.4
SpDSM45544_FJ	0.00102129	2.4356e-08	42.8244	41931.7
SaCNX508_PM	0.000608041	1.4532e-08	25.4413	41841.4
NODE_26	0.00520607	1.24266e-07	218.105	41894.4
NODE_27	0.000612336	1.46055e-08	25.6722	41925.1
NODE_28	0.000401476	9.57451e-09	16.8346	41931.8
NODE_29	0.00133544	3.18952e-08	55.9145	41869.7
NODE_30	0.00040166	9.5791e-09	16.8419	41930.8
NODE_31	0.000497913	1.18738e-08	20.8793	41933.7
NODE_32	0.000775408	1.84962e-08	32.5072	41922.7
NODE_33	0.000353282	8.42539e-09	14.8134	41930.7
NODE_34	0.000401196	9.60667e-09	16.7548	41762.2
NODE_35	0.000356326	8.49702e-09	14.9427	41935.4
NODE_36	0.000425732	1.01529e-08	17.8519	41932.2
NODE_37	0.000333749	7.95837e-09	13.9964	41936.8
NODE_38	0.000999305	2.38308e-08	41.9043	41933.4
NODE_39	0.000452381	1.07874e-08	18.9711	41936.1
NODE_40	0.000264029	6.29997e-09	11.0654	41909.6
NODE_41	0.000284974	6.79551e-09	11.9506	41935.7
NODE_42	0.000548305	1.30746e-08	22.9941	41936.7
NODE_43	0.00195271	4.65676e-08	81.8822	41932.7
NODE_44	0.000192982	1.64691e-08	2.26133	11717.8
NODE_45	0.000335147	8.0277e-09	13.992	41748.8
NODE_46	0.000244592	5.88448e-09	10.1666	41565.5
NODE_47	0.000143039	3.41082e-09	5.99863	41936.9
