Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.1891	0.000230117	155.394	821.756
1/delta	0.00233651	3.48639e-08	156.588	67018.1
nu	0.0405307	6.13839e-07	2676.17	66028.3
StCNY678_YU	0.000220361	5.85622e-09	8.29185	37628.5
SpCNS055_PL	0.000407465	2.16673e-08	7.66258	18805.5
SpCNT133_FJ	0.000312001	8.18826e-09	11.8883	38103.5
SpCNH732_RS	0.00102513	2.71287e-08	38.7371	37787.6
SpCNR510_GU	0.000886625	2.36155e-08	33.2876	37544.2
SpCNR909_PL	0.000778656	2.07682e-08	29.1939	37492.6
StCNY681_YU	0.000392622	1.03972e-08	14.8263	37762.3
SpCNT609_FJ	0.000156509	4.11522e-09	5.95234	38031.9
StCNB536_BA	0.00028739	7.56194e-09	10.9222	38004.8
SpCNT003_FJ	0.00114492	3.0147e-08	43.4816	37977.9
StCNT250_BA	0.000418052	1.09808e-08	15.9157	38071.1
StCNH898_BA	0.000386192	1.02929e-08	14.49	37520.1
SpCNY363_SC	0.000104946	2.77129e-09	3.97422	37869.1
StCNR699_BA	0.000429361	1.12966e-08	16.3192	38008
SpDSM45544_FJ	0.00101145	2.66551e-08	38.3804	37945.9
StCNS197_BA	0.000271778	7.13757e-09	10.3485	38077.1
SpCNY330_SC	7.82025e-05	2.05205e-09	2.98026	38109.5
SpCNT796_HI	0.00376111	1.08389e-07	130.511	34700.1
SpCNT131_FJ	0.000759454	1.99706e-08	28.8811	38028.7
SpCNT084_FJ	0.000389903	1.02334e-08	14.8558	38101.2
SpCNT001_FJ	0.000800946	2.11427e-08	30.3421	37882.8
SpCNT855_HI	0.00127706	3.37321e-08	48.3482	37858.9
StCNS416_BA	0.000327858	8.69045e-09	12.3689	37726.3
StCNT261_BA	0.00050388	1.32417e-08	19.1739	38052.5
StCNB440_BA	0.00050262	1.32505e-08	19.0656	37932.3
NODE_26	5.92907e-05	1.55755e-09	2.257	38066.6
NODE_27	0.00456641	1.48443e-07	140.472	30762
NODE_28	0.000463035	1.21563e-08	17.6371	38090.2
NODE_29	0.000249466	6.59657e-09	9.43415	37817.4
NODE_30	0.000300801	7.89797e-09	11.4563	38085.8
NODE_31	0.00105058	2.81562e-08	39.1995	37312.4
NODE_32	0.000130174	3.4159e-09	4.9607	38108.2
NODE_33	0.000187842	4.94423e-09	7.13655	37992.2
NODE_34	0.000111587	2.93446e-09	4.24325	38026.4
NODE_35	0.000452676	1.19355e-08	17.1686	37926.9
NODE_36	0.00213759	5.6378e-08	81.0475	37915.3
NODE_37	0.00194945	5.40415e-08	70.3229	36073.2
NODE_38	0.00219944	7.41049e-08	65.2793	29680
NODE_39	5.03839e-05	2.52257e-09	1.00633	19973.2
NODE_40	0.000257058	6.75141e-09	9.78737	38074.6
NODE_41	0.000234049	6.14214e-09	8.91852	38105.4
NODE_42	0.000130164	3.41563e-09	4.9603	38108.2
NODE_43	7.82247e-05	2.05263e-09	2.98111	38109.6
NODE_44	0.000300326	7.88614e-09	11.4372	38082.7
NODE_45	0.000182189	4.78952e-09	6.9303	38039.1
NODE_46	5.23113e-05	1.37439e-09	1.99105	38061.6
NODE_47	2.65474e-05	7.02964e-10	1.00256	37764.9
