Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0178545	9.76155e-06	32.657	1829.06
1/delta	0.000968474	2.87212e-08	32.6568	33719.9
nu	0.0926094	2.82951e-06	3031.09	32729.9
StCNS416_BA	0.000692571	3.9077e-09	122.746	177232
StCNR699_BA	0.00101416	5.72379e-09	179.691	177183
SpCNT133_FJ	9.97338e-05	5.63304e-10	17.658	177052
StCNT261_BA	0.000535173	3.01958e-09	94.8511	177234
StCNH898_BA	0.000611804	3.45224e-09	108.424	177219
StCNT250_BA	0.00108383	6.11847e-09	191.99	177141
StCNB440_BA	0.000674007	3.80542e-09	119.378	177117
StCNB476_BA	0.000925695	5.22755e-09	163.922	177080
StCNY681_YU	0.000647494	3.65335e-09	114.757	177233
StCNY678_YU	0.000864814	4.88012e-09	153.255	177211
SpCNT084_FJ	0.000170462	9.63711e-10	30.1514	176881
StCNS197_BA	0.000706831	3.98836e-09	125.267	177223
SpCNT609_FJ	0.0001681	9.48463e-10	29.7929	177234
NODE_14	0.000384606	2.17122e-09	68.1285	177139
NODE_15	0.00109511	6.1846e-09	193.912	177071
NODE_16	0.000174766	9.86065e-10	30.975	177236
NODE_17	0.000224379	1.266e-09	39.7676	177234
NODE_18	0.000196296	1.10808e-09	34.7739	177150
NODE_19	0.000204377	1.1535e-09	36.2116	177180
NODE_20	0.000191531	1.08066e-09	33.9462	177236
NODE_21	5.08142e-05	2.86845e-10	9.00167	177149
NODE_22	6.87156e-06	4.69556e-11	1.0056	146342
NODE_23	0.000159934	9.03813e-10	28.301	176954
