Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.903814	0.00247568	329.961	365.077
1/delta	0.000896446	2.62969e-09	305.593	340894
nu	0.0100748	2.96377e-08	3424.76	339933
SaCNQ884_GU	0.000122913	5.26834e-09	2.86761	23330.4
StCNY012_BA	6.39999e-05	2.76634e-09	1.48065	23135.2
SaCNX814_PM	0.00018089	8.6333e-09	3.7901	20952.5
StCNY678_YU	0.000206223	9.06032e-09	4.69384	22761.1
SpCNT133_FJ	0.000133813	5.78666e-09	3.09433	23124.4
SpCNS237_PL	5.77493e-05	3.30548e-09	1.00892	17470.7
SaCNY256_FJ	0.000293466	1.30179e-08	6.61566	22543.2
SpCNS103_PL	0.000234883	1.06734e-08	5.16894	22006.4
SaCNY679_YU	0.000123473	6.20455e-09	2.45715	19900.4
StCNT261_BA	0.000122557	5.25386e-09	2.85887	23327
SaCNS673_FJ	8.96347e-05	4.2444e-09	1.89294	21118.3
SaCNR425_GU	0.000195792	8.56791e-09	4.47417	22851.7
SaCNT005_FJ	0.000223889	1.01038e-08	4.96114	22158.9
SaCNS243_PL	0.000227924	9.82413e-09	5.28795	23200.5
SpCNT609_FJ	0.00021533	9.60069e-09	4.82954	22428.6
SpCNT001_FJ	9.10503e-05	3.96005e-09	2.09345	22992.2
SaCNY011_BA	6.97958e-05	2.99382e-09	1.62717	23313.3
SaDSM45545_FJ	0.000198878	9.18813e-09	4.30474	21645.1
SaCNS051_PL	0.00019059	8.57251e-09	4.23734	22232.7
StCNY681_YU	0.000160324	6.88382e-09	3.73396	23290
SpCNY646_RS	5.89401e-05	3.47156e-09	1.00069	16978
SpCNT403_FJ	6.176e-05	3.55163e-09	1.07396	17389.2
SpDSM45547_FJ	6.67377e-05	3.7731e-09	1.18044	17687.7
SaCNY260_FJ	0.000153769	6.78569e-09	3.48454	22660.8
SaCNX482_PM	0.000251699	1.17672e-08	5.38382	21389.9
SaCNH646_BA	0.000186548	9.23855e-09	3.76684	20192.4
SaCNY486_PV	8.28064e-05	3.54678e-09	1.93328	23346.9
SaCNT859_HI	0.000189493	9.08436e-09	3.95267	20859.2
SpCNY498_PV	0.000343821	1.51276e-08	7.81439	22728.1
SaCNT857_HI	4.48054e-05	1.94859e-09	1.03025	22993.8
SpDSM45543_FJ	0.00029524	1.37731e-08	6.32874	21435.9
SaCNX481_PM	0.000142499	6.94722e-09	2.92287	20511.6
SpCNY331_SC	0.00014684	6.32128e-09	3.41099	23229.4
SpCNQ768_GU	0.000303514	1.37494e-08	6.7	22074.8
SpCNR894_PL	0.000216284	9.68793e-09	4.82855	22325.1
SaCNY237_FJ	0.000167307	7.34215e-09	3.81248	22787.3
SpCNT855_HI	0.000161451	8.1185e-09	3.21076	19886.9
SpCNT851_HI	8.28791e-05	3.54989e-09	1.93497	23346.9
SaCNH905_BA	8.02369e-05	3.79342e-09	1.69714	21151.6
SpCNR510_GU	0.000162193	6.9591e-09	3.78016	23306.6
StCNB476_BA	0.000217542	9.6631e-09	4.89743	22512.6
SaCNS820_FJ	8.28565e-05	3.54889e-09	1.93446	23347.2
SaCNR921_PL	0.000137885	5.95082e-09	3.19489	23170.7
SaCNR107_GU	0.00024206	1.12151e-08	5.22446	21583.3
SpCNS860_FJ	0.000309994	1.38999e-08	6.91344	22301.9
SaCNY230_FJ	5.35309e-05	2.52198e-09	1.13623	21225.7
SaCNY685_YU	0.000164096	8.33026e-09	3.23248	19698.7
SpCNT584_FJ	0.000286706	1.26502e-08	6.49792	22664.1
SpCNT603_FJ	0.000159271	6.83875e-09	3.70935	23289.5
SpCNT084_FJ	0.00011961	5.34962e-09	2.6743	22358.5
SaCNS342_FJ	0.000285175	1.26912e-08	6.40797	22470.3
SaCNY690_YU	0.000255705	1.12813e-08	5.79589	22666.3
SaCNH718_RS	0.000121416	5.74386e-09	2.56655	21138.5
StCNH898_BA	0.000126121	5.50476e-09	2.88959	22911.3
SaCNX891_PM	0.00034473	1.61438e-08	7.36128	21353.7
SaCNY234_FJ	0.000162867	6.98623e-09	3.79687	23312.6
StCNB440_BA	0.000317436	1.38919e-08	7.25354	22850.4
SpCNY330_SC	0.000110692	4.82746e-09	2.53812	22929.6
SpCNT796_HI	8.28889e-05	3.5503e-09	1.93521	23347
SpCNY703_MD	4.94167e-05	2.28968e-09	1.06653	21582.4
SpDSM45544_FJ	0.000174156	8.0127e-09	3.78529	21735
SpCNY239_FJ	0.000179973	8.05954e-09	4.01885	22330.4
SpCNY673_MD	4.908e-05	2.30448e-09	1.04529	21297.6
SaCNY280_FJ	0.000101163	4.78071e-09	2.14067	21160.6
SaCNS299_PL	0.000126639	5.50042e-09	2.91568	23023.5
SaCNX508_PM	0.000307547	1.39962e-08	6.75792	21973.6
SaCNB527_BA	0.000274164	1.18981e-08	6.31746	23042.7
SpCNS055_PL	9.31231e-05	8.52899e-09	1.01676	10918.4
SpCNT131_FJ	8.61211e-05	3.75529e-09	1.97504	22933.3
SpCNY202_SC	6.76713e-05	3.83274e-09	1.19481	17656.1
SaCNQ748_GU	0.000116605	5.00717e-09	2.71544	23287.6
SpCNH732_RS	0.000290642	1.31026e-08	6.44704	22182
SpCNT124_FJ	8.86058e-05	4.3328e-09	1.81199	20450
SpCNT029_FJ	0.000109438	5.90705e-09	2.02753	18526.7
SpCNT045_FJ	9.58103e-05	4.58972e-09	2.00004	20875
SpDSM45549_FJ	9.7821e-05	9.50266e-09	1.00698	10294.1
StCNB536_BA	0.000183078	9.026e-09	3.71345	20283.4
SpCNY363_SC	9.80595e-05	4.29203e-09	2.24035	22846.9
SpCNT854_HI	0.0002195	1.04868e-08	4.59433	20930.9
SaCNY694_YU	0.000177666	8.08449e-09	3.9044	21976.1
StCNT250_BA	0.00020833	9.28977e-09	4.67196	22425.8
SaCNH713_RS	0.000186238	9.51778e-09	3.64418	19567.3
SaCNB458_BA	0.000241235	1.03704e-08	5.6116	23261.9
SaCNY282_FJ	0.000209898	9.59747e-09	4.5905	21870.2
SpCNR114_GU	0.000142672	6.16151e-09	3.30361	23155.3
SpCNS996_FJ	0.000160546	7.7411e-09	3.32964	20739.5
SaCNS848_FJ	0.000104381	5.09519e-09	2.13838	20486.2
