feature	0_ColumnWash1	0_SalinipostinC	0_LomaiviticinC	0_SalinipostinEC	0_SalinosporamideB	0_Staurosporine	0_NeolymphostinA	0_V74_Media_C	0_SalinipostinH	0_SalinosporamideA	0_Lymphostin	0_RifamycinW	V19_CNS801_A	0_V77_Media_B	V105_CNR942_E	V100_CNT133_D	0_V79_Media_A	V104_CNT133_F	V103_CNS848_E	V20_CNY331_C	V109_CNS996_F	V107_CNR924_F	V106_CNS996_E	V101_CNS848_D	V102_CNS996_D	V1_CNY202_C	V110_CNR942_D	V13_CNY498_B	V14_CNT403_B	V11_CNT150_B	V108_CNS848_F	V16_CNT855_C	V15_CNB440_B	V111_CNT133_E	V17_CNH643_A	0_SalinipostinFrac	V27_CNY666_C	V23_CNS055_B	V29_CNT148_C	V24_CNY331_B	V10_CNH643_B	V25_CNT148_A	V3_CNT148_B	V33_CNY331_A	V2_CNX482_B	V21_CNY646_B	V18_CNP193_B	V22_CNY646_C	V35_CNY498_A	V31_CNT403_C	V32_CNT855_A	V34_CNY681_B	V36_CNY673_A	V28_CNY646_A	V38_CNX508_A_R	V4_CNH643_C	V26_CNS237_C	V12_CNX508_C_R	V30_CNX482_A	V37_CNB440_C	V46_CNT403_A	V40_CNY681_A	V41_CNY673_B	V49_CNS801_C	V45_CNY673_C	V48_CNT855_B	V43_CNY666_B	V52_CNS801_B	V42_CNT150_A	V47_CNX482_C	V50_CNP193_A	V39_CNS237_A	V51_CNY202_B	V7_CNB440_A	V82_CNT029_F	V5_CNT150_C	V56_CNS055_A	V57_CNY681_C	V6_CNS055_C	V55_CNP193_C	V60_CNT569_C	V44_CNY202_A	V87_CNS416_D	V54_CNY498_C	V90_CNS416_F	V64_CNT569_B	V8_CNY666_A	V89_CNT609_F	V63_CNT569_A	V85_CNT084_F	V83_CNS416_E	V88_CNT045_F	V86_CNT029_E	V84_CNH941_D	V53_CNS237_B	V9_CNX508_B_R	V98_CNT045_E	V93_CNT029_D	V91_CNT609_D	V99_CNT084_D	V94_CNT045_D	V97_CNT609E	V96_CNT084_E	V95_CNH941_E	V92_CNH941_F
feat1	247675.7656	25712.36914	35900.68359	27743.47266	26723.42969	27925.32813	28358.98633	54952.5	29581.65625	69401.28906	28224.76758	30027.05664	54494.44531	56471.03516	29955.36328	21616.67773	50900.97656	16290.42285	22067.45117	73370.375	17456.54883	24153.17383	19880.83789	24360.41016	19575.60352	72014.20313	23444.89844	65826.75781	59583.82031	60100.77734	26379.0293	76361.07813	63347.64453	19980.16406	66033.58594	45265.13672	57875.38281	64592.73047	66350.90625	73292	61293.30469	61025.21875	80066.00781	62154.28516	69530.46875	64868.80078	60580.80469	53917.22266	56761.14844	56894.80859	40315.99219	64742.25391	68798.10156	61391.10938	16068.00684	82149.26563	56415.83594	18965.66992	57769.23828	57598.01953	59342.53125	78891.17969	56036.22266	60793.14063	61806.83984	65803.61719	58354.39063	64823.26953	59603.84375	59759.01172	65440.78125	55164.58594	58970.84766	69263.59375	18802.38672	70398.40625	59827	70866.73438	66814.71094	58461.02734	75521.53125	71346.02344	18896.41992	60803.28516	19168.44141	70903.53906	70159.28125	24729.5918	52413.19922	17749.625	17634.08789	19535.74414	19895.24023	17441.26758	57636.76563	19904.46094	20733.30664	19223.49414	18063.94922	16984.68164	20349.2168	18802.76758	19117.59375	15459.48047	17744.25586
feat2	87143.16406	122691.7891	124771.6016	112791.6094	111737.8281	116666.4922	113617.0703	63381.86719	112494.4141	206152.125	124328	122011.125	58927.125	60289.71484	127252.0391	109457.7969	65050.46094	124314.4609	108898.1016	66242.6875	122129.4219	122171.2031	109141.6016	113413.6406	120301.3594	56388.57031	115515.25	59902.66797	57299.71875	59061.46484	109327.2891	67576.66406	57985.60156	109323.0859	59160.85938	122530.8594	60951.33203	61193.53906	56981.35938	72549.90625	60980.375	58091.80469	61309.84766	57182.34375	53813.91797	61348.99219	62013.19141	55893.84766	59988.57422	56215.3125	61475.92188	58206.05469	58569.5625	60872.83203	127944.7266	60704.12891	65121.32031	128144.4531	58859.34375	55547.20703	55969.96094	57394.48047	53490.72656	58190.99219	58263.28125	62199.01172	52140.37109	60860.60547	55447.93359	56959.09375	54136.93359	56841.51953	62970.76953	54484.14063	122961.0703	56281.58984	60096.8125	58930.54688	57995.66406	60351.32422	61989.45313	56628.30859	106559.2109	60341.01953	108316.0156	60612.96094	62649.77344	122138.2578	58543.93359	107662.5	109139.5078	114080.3438	108820.9063	111325.9844	59152.75	113721.1016	107231.0313	117523.2344	121632.0156	114585.0078	120954.9297	102832.625	117261.875	121074.9141	112129.0781
feat3	50624.55078	20465.53711	14170.97754	13084.82617	14818.21191	13277.96777	14759.1582	0	14878.0127	18183.63281	13554.21387	14058.32715	1513.570801	0	8229.051758	6747.722656	0	7705.241211	8092.494141	3448.930908	8347.825195	7645.461426	14607.30859	7757.206543	11528.47559	1959.932251	14819.80176	1371.833984	1533.510864	1688.964966	7954.455566	3913.133301	1395.421997	7157.320313	1479.032837	12776.45898	1829.471191	1719.207275	1468.4198	3652.563477	1561.112305	1851.320679	2292.819092	1175.88147	1767.541382	1368.198608	1709.894897	1518.781494	1567.508423	1513.960083	3229.32959	1538.775269	3561.960205	3723.661621	13637.64844	3828.626709	1363.168945	12055.41113	1402.765625	1504.692627	1619.052002	4163.53125	1540.449829	1455.06311	1374.304688	2892.535156	2096.408447	2637.505859	1757.038574	1659.06311	1422.197632	1322.6875	1625.640137	1794.02063	8873.25	1783.952759	2484.123047	1147.436401	1548.686035	1344.664185	2075.100098	3036.642334	7567.120117	1285.515259	8238.890625	2138.92041	3974.429443	6880.205566	0	13958.15723	9136.425781	7518.061523	7147.56543	8679.066406	1216.459717	13563.79297	14584.61328	6915.012695	6671	7255.460449	7845.652832	7636.666016	6507.810059	7086.541504	6835.395996
feat4	42209.61719	1912.956665	2413.006104	2093.957031	1455.727051	1890.897827	2140.196289	7785.923828	2237.967285	4883.960938	2134.128662	2016.37561	7043.201172	7725.623535	2130.670166	1746.293335	8399.673828	1693.525635	1943.856201	7456.945313	2221.200684	1887.833862	1916.584839	2217.467529	1801.5	7830.762207	2007.734863	6603.208496	7163.861328	7306.741211	1861.409058	6951.439941	7141.554199	1756.077515	7029.962402	1504.494141	6576.754883	7421.078125	7243.007813	7689.26416	6341.950195	7559.032227	7070.195801	6998.174316	6568.347168	7854.815918	7004.333496	6263.382324	6970.707031	6194.005859	7942.064453	7245.36084	7194.754395	6720.803711	1750.571411	7793.005371	6994.038574	2194.848389	6893.213379	6798.071289	7094.169434	6628.721191	6102.09375	6588.577148	6680.552734	7012.530762	7476.479492	5985.337891	6224.88916	6963.284668	5746.731934	5951.003418	7261.257324	7005.67627	1757.976196	8502.970703	6074.791992	6248.094727	6436.587402	7402.383301	7607.28125	8431.508789	1708.326416	6756.405762	1623.0979	7413.211426	7205.687988	1358.259766	6797.108398	1631.3125	1425.014648	1845.004272	1994.362915	1714.769531	7332.882324	2266.000732	1872.339966	1728.057251	2034.502563	1912.425049	2020.20813	1867.459839	1905.228516	1787.014648	1728.229736
feat5	31786.67773	35671.09766	33503.41797	34275.91406	34064.05078	35017.88281	31888.30273	19112.78711	34620.08594	59783.41406	32404.5918	34969.35938	18960.53711	17312.4082	35416.16406	31588.21484	19327.91016	35467.82813	32287.47656	21422.63672	36345.64063	34289.27344	30900.43164	31648.24609	34118.94141	21274.75195	30970.4082	19297.24805	18978.40234	21150.95703	30650.58008	22305.19141	19584.05273	32484.59961	21057.66406	35827.89453	19383.32617	19017.8457	19409.79102	23847.03906	20861.14063	19350.56055	22708.89258	18919.41992	18232.55078	20157.14063	19518.33984	17991.50781	18690.60156	17836.18359	18830.54102	18575.29688	19512.75977	19660.55664	35328.61719	20108	21171.42383	36585.45703	18485.5	18481.81445	21282.72852	20695.82813	20828.50781	20515.94531	18474.6543	20601.51563	19670.62891	19392.88086	21329.43555	20334.20313	19993.71484	20326.10547	21114.33398	22127.69727	37009.94922	20838.63086	21778.91016	18685.48047	18978.49414	19252.30664	20523.45508	21644.17188	31805.35156	18806.89258	31277.09375	19958.63477	23266.90039	33098.73828	20683.40625	31890.32031	36499.48047	33708.75781	31186.19336	31802.04297	19055.19727	32787.64844	29761.88672	32636.08789	35458.32422	32277.02734	35646.54688	29754.74023	34335.37109	33860.63672	30999.95117
feat6	27472.44922	31097.17578	27645.29297	29777.21289	28123.74805	28613.10156	26384.28711	35445.48047	30857.24414	53629.37891	26800.82227	29101.77344	31418.57422	34211.45703	22816.36328	26136.30859	34926.53516	25306.84766	24025.4668	35262.82813	26632.18164	24673.66211	28998.73242	28779.61328	30616.15625	33775.41016	23395.30664	34122.67578	31541.91992	33049.57422	23401.8125	33683.05469	20073.29492	26184.61133	35555.625	28001.95117	33618.77344	31382.67969	34455.30078	34825.00391	29486.55078	36211.45313	34056.05859	32452.91992	26117.29297	25618.9043	29245.81445	29404.13672	29985.27539	32839.04297	30961.26172	29987.36133	36237.02344	33964.98047	28793.19531	35537.08984	28245.17773	30374.01367	32317.85742	31158.32617	35856.44531	35501.37109	35338.52734	32169.16406	34248.13672	34240.17969	33285.88672	37966.69922	33900.66797	31033.62305	33042.84375	31133.70703	33980.67188	32665.86523	30128.68555	36609.62109	33629.87891	25523.66211	35173.20313	34889.75781	27876.12695	34742.79297	31331.47656	38580.02344	21694.51758	31309.70313	36671.17969	29358.58984	30124.39648	28901.51172	20474.87305	30565.40039	26335.3457	27970.98047	33101.77734	27425.22266	29930.05859	28499.19141	23706.29883	29548.73047	27261.99609	26508.90039	28662.02539	25133.78125	27533.79688
feat7	25348.9707	3560.046143	3489.364014	3642.018066	3714.306641	3519.079834	4124.481934	3178.181152	3331.688721	7446.533691	3891.461426	3377.0625	2819.609863	3154.097412	3262.897461	2886.045654	3318.533203	3192.902588	3019.409912	2618.082764	3127.25708	3310.774414	3214.931152	2868.712158	3373.016602	1978.243286	4070.959961	2510.37915	2823.671875	2648.63916	3044.339111	2489.035645	2559.687744	2924.854492	2970.183838	3523.266602	2836.272705	3039.478516	3486.285156	2375.695557	1985.486694	2622.035645	2328.138916	2567.560547	2460.399658	2524.858643	3082.341309	2566.199463	3011.06958	2917.208252	2647.225586	2458.890625	2816.427246	3119.440186	2927.004639	2189.118408	2605.977295	2899.037598	2955.41333	2432.585938	2529.91748	2427.04248	2902.423584	2587.64209	2634.598389	2599.786377	2674.64502	2504.737305	2441.368652	2580.44043	2957.795166	2592.716309	2999.241211	2162.009766	2734.138184	1981.673096	2767.906738	2688.265869	2506.927246	2496.877686	2914.601807	2529.505615	2675.777832	2752.632813	2601.926514	2948.154297	2211.195313	3041.586426	3072.975586	2826.026367	0	2993.125	3127.13623	2559.769287	2607.958984	2947.434082	2866.681396	3073.158936	3198.98877	3342.888916	3421.611328	3236.627197	3613.587891	2879.685791	2485.978027
feat8	14403.91992	5600.553711	6878.583496	6018.592773	7365.170898	5955.720703	5756.839844	7317.62207	6922.020508	11432.7998	5710.537109	6168.542969	5840.599121	8859.149414	6243.780273	5317.285156	8401.794922	5381.950195	4664.013672	6059.545898	4741.841797	5252.080566	5069.867188	5934.437012	4994.757813	6288.455566	4573.775391	3944.035889	5498.86377	6121.128906	4536.527344	6414.146973	6329.205078	5567.065918	2581.318359	5760.298828	5502.923828	5831.945801	5574.882324	6598.449219	2763.374756	6072.397461	5863.455078	6288.099121	3413.807617	6533.169434	4067.487549	6289.087402	5099.505859	6216.247559	6819.412109	7001.496094	5320.543457	5045.844238	3145.655029	3989.085449	5756.970703	2650.277344	3369.993164	5935.42627	6701.507813	6539.309082	4952.034668	6875.749512	6247.893066	7666.938965	6326.606445	6356.774902	5771.739258	3377.656982	5738.104492	6642.491699	6572.113281	5233.515137	5314.0625	6541.640625	6873.620605	7502.0625	4882.225586	5496.03418	7464.024902	5252.381836	5206.286133	1967.479492	5755.355469	7427.299316	5928.958008	5132.516602	7113.927734	6388.107422	5954.633301	5093.471191	4643.17334	3477.291504	6738.074219	2753.281738	5269.046387	3861.883545	5754.118164	5213.183594	5197.128418	5789.325684	5515.144531	4085.372803	3325.636719
feat9	11582.48242	4253.96582	2490.074951	2668.738037	2718.46582	2275.525391	2955.938965	0	2866.523438	3919.961182	2331.32251	2745.844727	0	0	1617.790283	1353.912842	0	1339.172119	1290.725342	0	1535.00769	1394.088379	2696	1618.201904	2563.907227	0	2921.44043	0	0	0	1691.369019	0	0	1332.861572	0	2467.480469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3079.25	0	0	2522.964355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884.717041	0	0	0	0	0	0	0	1227.061768	0	1522.42627	0	0	1670.06311	0	3025.482178	1969.903198	1974.005005	1401.782593	1444.869873	0	2824.872314	2425.050049	1190.656128	1623.25	1349.410034	1705.740112	1624.720825	1341.009155	1422.253418	1528.68042
feat10	11265.70703	41369.35547	47027.33203	43655.10547	39177.78125	47569.61328	44058.91406	28411.16406	46272.65625	54281.08203	47335.87891	46657.70313	21056.55273	26225.86914	39474.45313	43404.81641	27525.07031	43535.09766	39446.41016	19069.10156	57771.30469	87123.54688	40378.03516	45876.26953	45723.70313	13415.50488	74988.35938	16519.81055	17493.63867	17238.60742	65075.10156	18210.07227	20596.0332	67853.28125	18942.88086	44278.35547	21237.54492	19474.02148	20866.72852	19743.69141	19516.46484	20300.59766	14729.12988	20008.35742	5588.505859	19997.4707	18336.29102	21045.33594	22443.87109	20759.98242	21726.75195	21884.66797	20364.56445	22565.05078	42542.3125	16190.75586	22165.21094	44213.03125	20355.13867	22898.70898	18718.70898	22739.4043	21023.65625	19242.875	22514.68359	20845.17969	21901.28125	21636.20508	20655.57422	20116.41406	20786.24805	20334.21484	20920.38477	16034.91602	39117.15625	16768.38477	22233.92773	23653.62695	14060.87305	21345.92578	22057.58984	18848.86328	43879.06641	20441.44922	46674.96875	22041.7207	17534.70703	45183.61328	21801.51953	45648.37109	40834.6875	40537.32813	45367.41016	39110.11328	21017.38281	41260.79688	43413.16797	45670.60938	42048.91406	45248.72266	48748.78516	47842.66406	44960.65234	48750.17578	45091.19531
