feature	mz	retention.time
feat1	425.2147011	23.79086984
feat2	289.1542776	20.99909524
feat3	135.1011787	4.113536139
feat4	383.2039156	22.51531746
feat5	267.1723826	20.9971381
feat6	274.2741433	14.18711317
feat7	185.0979541	14.70605705
feat8	243.1355876	21.11457778
feat9	152.1272499	4.114524444
feat10	146.9804241	27.71756508
feat11	421.2322561	21.82914286
feat12	163.132324	4.125905159
feat13	290.2037964	15.09366667
feat14	103.9558969	27.71972063
feat15	447.2923965	14.06069079
feat16	387.1929583	18.18101228
feat17	117.0906941	4.121857246
feat18	365.1926822	23.15855682
feat19	290.2033081	13.42856667
feat20	498.9026264	24.63246349
feat21	169.1220684	4.242905333
feat22	309.2266498	12.05157966
feat23	426.2923971	25.53570159
feat24	185.1155274	4.134837209
feat25	399.3083258	25.00937143
feat26	146.9803991	26.74838889
feat27	369.2985908	26.52713462
feat28	442.3373553	14.05362196
feat29	435.30752	15.83116786
feat30	505.3338039	15.02059043
feat31	307.2127228	15.0481
feat32	265.256546	4.448416667
feat33	384.2942325	13.07898118
feat34	153.1385962	25.49271429
feat35	197.07827	4.167883333
feat36	127.0937059	15.08591667
feat37	105.9540647	27.72307619
feat38	307.2123108	14.3463
feat39	193.1431046	4.934283333
feat40	141.0903427	4.565696667
feat41	117.0904984	4.592941667
feat42	307.2115173	13.10466667
feat43	141.0911102	5.1502
feat44	383.2584839	16.06258333
feat45	105.9539826	26.81059365
feat47	355.2829734	25.13330952
feat48	429.3181802	23.70909302
feat49	385.2924914	23.81446703
feat50	413.3254064	26.11076984
feat51	425.2888052	24.73882658
feat52	487.3629352	24.90266304
feat53	182.190059	10.25885231
feat54	473.3449244	23.61635985
feat55	369.2993942	26.18129762
feat56	195.1021655	19.60175472
feat57	457.3524802	26.0750947
feat58	290.2689313	14.36910095
feat59	555.3181857	20.99740952
feat60	343.2951775	15.49152356
feat61	186.1305524	14.9430119
feat62	163.1324276	11.94876026
feat63	531.3896038	24.79758333
feat64	323.1460055	18.52479487
feat65	306.2642045	18.60443333
feat66	227.1039808	18.21538889
feat67	702.8661852	28.00915397
feat68	325.2253473	21.00353175
feat69	163.1114947	16.13068125
feat70	369.2993594	25.24687963
feat71	702.8651008	24.15468413
feat72	561.3976181	23.34451515
feat73	449.2869176	21.58036364
feat74	493.3131143	21.4764346
feat75	770.8539955	28.00812698
feat76	230.2477336	14.24656937
feat77	311.2560701	25.12079085
feat78	770.851546	23.68976349
feat79	293.2083541	18.95586508
feat80	437.1933035	18.53227937
feat81	213.1459467	14.94432306
feat82	467.2562405	26.40183333
feat83	230.2476737	14.95190243
feat84	275.2774249	14.18742032
feat85	304.2999071	16.35907832
feat86	610.1836498	28.07431061
feat87	485.1120936	22.85343452
feat88	372.3466378	17.50156891
feat89	302.3053169	15.41020609
feat90	481.2334747	22.63416667
feat91	405.2606789	21.67062698
feat92	371.3258816	17.2696343
feat93	145.9850577	27.71792381
feat94	172.9561703	28.68085556
feat95	365.2771406	15.49145805
feat96	229.1407748	11.20757314
feat97	186.1288946	12.40724032
feat98	605.4239373	23.19382576
feat99	501.3790569	26.02074242
feat100	199.9872688	28.35158254
feat101	298.3467855	17.11569244
feat102	246.2427037	12.87347997
feat103	361.2352875	21.75183854
feat104	105.9539743	25.90121429
feat105	153.138614	26.2060746
feat106	485.1139977	24.38677778
feat107	394.3542755	25.06012879
feat108	531.3869338	23.29313889
feat109	481.2316742	23.00433333
feat110	229.1409196	12.30677917
feat111	575.4139488	23.1140463
feat112	185.0984775	13.93253175
feat113	214.252961	14.76743235
feat114	501.3781811	25.03099074
feat115	153.1384882	24.50840317
feat116	112.018208	28.71980794
feat117	702.8626392	20.87520657
feat118	414.3288691	25.21989815
feat119	838.8372358	20.43009848
feat120	145.9845602	23.50395699
feat121	425.288885	25.53766667
feat122	670.2733505	11.55433
feat123	443.3356665	24.94290476
feat125	168.0653229	13.44448333
feat126	399.3082517	23.71429012
feat127	136.0386047	13.44448333
feat128	355.2818865	23.87008943
feat129	1182.42681	14.6739
feat130	1164.420007	14.67236667
feat131	1164.416598	11.55450263
feat132	338.3432437	25.65069753
feat133	332.3308908	17.59151763
feat134	294.9400026	24.85885714
feat135	413.2664615	20.44779487
