feature	V19_CNS801_A	V105_CNR942_E	V100_CNT133_D	V104_CNT133_F	V103_CNS848_E	V20_CNY331_C	V109_CNS996_F	V107_CNR924_F	V106_CNS996_E	V101_CNS848_D	V102_CNS996_D	V1_CNY202_C	V110_CNR942_D	V13_CNY498_B	V14_CNT403_B	V11_CNT150_B	V108_CNS848_F	V16_CNT855_C	V15_CNB440_B	V111_CNT133_E	V17_CNH643_A	V27_CNY666_C	V23_CNS055_B	V29_CNT148_C	V24_CNY331_B	V10_CNH643_B	V25_CNT148_A	V3_CNT148_B	V33_CNY331_A	V2_CNX482_B	V21_CNY646_B	V18_CNP193_B	V22_CNY646_C	V35_CNY498_A	V31_CNT403_C	V32_CNT855_A	V34_CNY681_B	V36_CNY673_A	V28_CNY646_A	V38_CNX508_A_R	V4_CNH643_C	V26_CNS237_C	V12_CNX508_C_R	V30_CNX482_A	V37_CNB440_C	V46_CNT403_A	V40_CNY681_A	V41_CNY673_B	V49_CNS801_C	V45_CNY673_C	V48_CNT855_B	V43_CNY666_B	V52_CNS801_B	V42_CNT150_A	V47_CNX482_C	V50_CNP193_A	V39_CNS237_A	V51_CNY202_B	V7_CNB440_A	V82_CNT029_F	V5_CNT150_C	V56_CNS055_A	V57_CNY681_C	V6_CNS055_C	V55_CNP193_C	V60_CNT569_C	V44_CNY202_A	V87_CNS416_D	V54_CNY498_C	V90_CNS416_F	V64_CNT569_B	V8_CNY666_A	V89_CNT609_F	V63_CNT569_A	V85_CNT084_F	V83_CNS416_E	V88_CNT045_F	V86_CNT029_E	V84_CNH941_D	V53_CNS237_B	V9_CNX508_B_R	V98_CNT045_E	V93_CNT029_D	V91_CNT609_D	V99_CNT084_D	V94_CNT045_D	V97_CNT609E	V96_CNT084_E	V95_CNH941_E	V92_CNH941_F
feat1	386.2747396	-24152.80729	-32491.49284	-37817.74772	-32040.7194	19262.20443	-36651.62174	-29954.99674	-34227.33268	-29747.76042	-34532.56706	17906.03255	-30663.27214	11718.58724	5475.64974	5992.606771	-27729.14128	22252.90755	9239.473958	-34128.00651	11925.41536	3767.21224	10484.5599	12242.73568	19183.82943	7185.134115	6917.048177	25957.83724	8046.114583	15422.29818	10760.63021	6472.634115	-190.9479167	2652.977865	2786.638021	-13792.17839	10634.08333	14689.93099	7282.938802	-38040.16374	28041.09505	2307.665365	-35142.50065	3661.067708	3489.848958	5234.360677	24783.00911	1928.052083	6684.970052	7698.669271	11695.44661	4246.220052	10715.09896	5495.673177	5650.841146	11332.61068	1056.415365	4862.677083	15155.42318	-35305.78385	16290.23568	5718.829427	16758.5638	12706.54036	4352.856771	21413.36068	17237.85286	-35211.75065	6695.114583	-34939.72917	16795.36849	16051.11068	-29378.57878	-1694.971354	-36358.54557	-36474.08268	-34572.42643	-34212.93034	-36666.90299	3528.595052	-34203.70964	-33374.86393	-34884.67643	-36044.22135	-37123.48893	-33758.95378	-35305.40299	-34990.57682	-38648.6901	-36363.91471
feat2	-3980.222656	64344.69141	46550.44922	61407.11328	45990.75391	3335.339844	59222.07422	59263.85547	46234.25391	50506.29297	57394.01172	-6518.777344	52607.90234	-3004.679688	-5607.628906	-3845.882813	46419.94141	4669.316406	-4921.746094	46415.73828	-3746.488281	-1956.015625	-1713.808594	-5925.988281	9642.558594	-1926.972656	-4815.542969	-1597.5	-5725.003906	-9093.429688	-1558.355469	-894.15625	-7013.5	-2918.773438	-6692.035156	-1431.425781	-4701.292969	-4337.785156	-2034.515625	65037.37891	-2203.21875	2213.972656	65237.10547	-4048.003906	-7360.140625	-6937.386719	-5512.867188	-9416.621094	-4716.355469	-4644.066406	-708.3359375	-10766.97656	-2046.742188	-7459.414063	-5948.253906	-8770.414063	-6065.828125	63.421875	-8423.207031	60053.72266	-6625.757813	-2810.535156	-3976.800781	-4911.683594	-2556.023438	-917.8945313	-6279.039063	43651.86328	-2566.328125	45408.66797	-2294.386719	-257.5742188	59230.91016	-4363.414063	44755.15234	46232.16016	51172.99609	45913.55859	48418.63672	-3754.597656	50813.75391	44323.68359	54615.88672	58724.66797	51677.66016	58047.58203	39925.27734	54354.52734	58167.56641	49221.73047
feat3	1513.570801	8229.051758	6747.722656	7705.241211	8092.494141	3448.930908	8347.825195	7645.461426	14607.30859	7757.206543	11528.47559	1959.932251	14819.80176	1371.833984	1533.510864	1688.964966	7954.455566	3913.133301	1395.421997	7157.320313	1479.032837	1829.471191	1719.207275	1468.4198	3652.563477	1561.112305	1851.320679	2292.819092	1175.88147	1767.541382	1368.198608	1709.894897	1518.781494	1567.508423	1513.960083	3229.32959	1538.775269	3561.960205	3723.661621	13637.64844	3828.626709	1363.168945	12055.41113	1402.765625	1504.692627	1619.052002	4163.53125	1540.449829	1455.06311	1374.304688	2892.535156	2096.408447	2637.505859	1757.038574	1659.06311	1422.197632	1322.6875	1625.640137	1794.02063	8873.25	1783.952759	2484.123047	1147.436401	1548.686035	1344.664185	2075.100098	3036.642334	7567.120117	1285.515259	8238.890625	2138.92041	3974.429443	6880.205566	0	13958.15723	9136.425781	7518.061523	7147.56543	8679.066406	1216.459717	13563.79297	14584.61328	6915.012695	6671	7255.460449	7845.652832	7636.666016	6507.810059	7086.541504	6835.395996
feat4	-927.2058919	-5839.736898	-6224.113729	-6276.881429	-6026.550863	-513.4617513	-5749.20638	-6082.573201	-6053.822225	-5752.939535	-6168.907064	-139.6448568	-5962.672201	-1367.198568	-806.5457357	-663.6658529	-6108.998006	-1018.967122	-828.8528646	-6214.329549	-940.4446615	-1393.652181	-549.3289388	-727.3992513	-281.1429036	-1628.456868	-411.3748372	-900.211263	-972.2327474	-1402.059896	-115.5911458	-966.0735677	-1707.02474	-999.7000326	-1776.401204	-28.34261068	-725.046224	-775.6526693	-1249.603353	-6219.835653	-177.4016927	-976.3684896	-5775.558675	-1077.193685	-1172.335775	-876.2376302	-1341.685872	-1868.313314	-1381.829915	-1289.854329	-957.8763021	-493.9275716	-1985.069173	-1745.517904	-1007.122396	-2223.67513	-2019.403646	-709.1497396	-964.7307943	-6212.430868	532.5636393	-1895.615072	-1722.312337	-1533.819661	-568.023763	-363.1258138	461.1017253	-6262.080648	-1214.001302	-6347.309163	-557.195638	-764.7190755	-6612.147298	-1173.298665	-6339.094564	-6545.392415	-6125.402791	-5976.044149	-6255.637533	-637.5247396	-5704.406331	-6098.067098	-6242.349813	-5935.9045	-6057.982015	-5950.198934	-6102.947225	-6065.178548	-6183.392415	-6242.177327
feat5	376.1686198	16831.79557	13003.84635	16883.45964	13703.10807	2838.268229	17761.27214	15704.90495	12316.06315	13063.8776	15534.57292	2690.383464	12386.03971	712.8795573	394.0338542	2566.588542	12066.21159	3720.822917	999.6842448	13900.23112	2473.295573	798.9576823	433.4772135	825.422526	5262.670573	2276.772135	766.1920573	4124.524089	335.0514323	-351.8177083	1572.772135	933.9713542	-592.8606771	106.2330729	-748.1848958	246.172526	-9.071614583	928.391276	1076.188151	16744.2487	1523.63151	2587.055339	18001.08854	-98.86848958	-102.5540365	2698.360026	2111.459635	2244.139323	1931.576823	-109.7141927	2017.147135	1086.260417	808.5123698	2745.067057	1749.834635	1409.346354	1741.736979	2529.965495	3543.328776	18425.58073	2254.26237	3194.541667	101.1119792	394.125651	667.938151	1939.086589	3059.803385	13220.98307	222.5240885	12692.72526	1374.266276	4682.531901	14514.36979	2099.03776	13305.95182	17915.11198	15124.38932	12601.82487	13217.67448	470.828776	14203.27995	11177.51823	14051.7194	16873.95573	13692.65885	17062.17839	11170.37174	15751.0026	15276.26823	12415.58268
feat6	-3442.583333	-12044.79427	-8724.848958	-9554.309896	-10835.69076	401.6705729	-8228.975911	-10187.49544	-5862.42513	-6081.544271	-4245.001302	-1085.747396	-11465.85091	-738.4817708	-3319.23763	-1811.583333	-11459.34505	-1178.102865	-14787.86263	-8676.546224	694.4674479	-1242.384115	-3478.477865	-405.8567708	-36.15364583	-5374.606771	1350.295573	-805.0989583	-2408.23763	-8743.864583	-9242.253255	-5615.343099	-5457.020833	-4875.882161	-2022.114583	-3899.895833	-4873.796224	1375.865885	-896.1770833	-6067.96224	675.9322917	-6615.979818	-4487.14388	-2543.30013	-3702.83138	995.2877604	640.2135417	477.3697917	-2691.99349	-613.0208333	-620.9778646	-1575.270833	3105.541667	-960.4895833	-3827.534505	-1818.313802	-3727.450521	-880.4856771	-2195.292318	-4732.472005	1748.463542	-1231.278646	-9337.495443	312.0455729	28.60026042	-6985.030599	-118.3645833	-3529.68099	3718.865885	-13166.63997	-3551.454427	1810.022135	-5502.567708	-4736.761068	-5959.645833	-14386.28451	-4295.757161	-8525.811849	-6890.177083	-1759.380208	-7435.934896	-4931.098958	-6361.966146	-11154.85872	-5312.427083	-7599.161458	-8352.257161	-6199.132161	-9727.376302	-7327.360677
feat7	-397.3273926	45.96020508	-330.8916016	-24.03466797	-197.5273438	-598.8544922	-89.68017578	93.8371582	-2.006103516	-348.2250977	156.0793457	-1238.69397	854.0227051	-706.5581055	-393.2653809	-568.2980957	-172.5981445	-727.9016113	-657.2495117	-292.0827637	-246.753418	-380.6645508	-177.4587402	269.3479004	-841.2416992	-1231.450562	-594.9016113	-888.7983398	-649.376709	-756.5375977	-692.0786133	-134.5959473	-650.737793	-205.8676758	-299.7290039	-569.7116699	-758.0466309	-400.5100098	-97.49707031	-289.9326172	-1027.818848	-610.9599609	-317.8996582	-261.5239258	-784.3513184	-687.0197754	-789.8947754	-314.5136719	-629.295166	-582.3388672	-617.1508789	-542.2922363	-712.1999512	-775.5686035	-636.4968262	-259.1420898	-624.2209473	-217.6960449	-1054.92749	-482.7990723	-1235.26416	-449.0305176	-528.6713867	-710.0100098	-720.0595703	-302.3354492	-687.4316406	-541.1594238	-464.3044434	-615.0107422	-268.782959	-1005.741943	-175.3508301	-143.9616699	-390.9108887	-3216.937256	-223.8122559	-89.80102539	-657.1679688	-608.9782715	-269.5031738	-350.2558594	-143.7783203	-17.94848633	125.9516602	204.6740723	19.68994141	396.6506348	-337.2514648	-730.9592285
feat8	-2352.256348	-1949.075195	-2875.570313	-2810.905273	-3528.841797	-2133.30957	-3451.013672	-2940.774902	-3122.988281	-2258.418457	-3198.097656	-1904.399902	-3619.080078	-4248.81958	-2693.991699	-2071.726563	-3656.328125	-1778.708496	-1863.650391	-2625.789551	-5611.537109	-2689.931641	-2360.909668	-2617.973145	-1594.40625	-5429.480713	-2120.458008	-2329.400391	-1904.756348	-4779.047852	-1659.686035	-4125.36792	-1903.768066	-3093.349609	-1976.60791	-1373.443359	-1191.359375	-2872.312012	-3147.01123	-5047.200439	-4203.77002	-2435.884766	-5542.578125	-4822.862305	-2257.429199	-1491.347656	-1653.546387	-3240.820801	-1317.105957	-1944.962402	-525.9165039	-1866.249023	-1836.080566	-2421.116211	-4815.198486	-2454.750977	-1550.36377	-1620.742188	-2959.340332	-2878.792969	-1651.214844	-1319.234863	-690.7929688	-3310.629883	-2696.821289	-728.8305664	-2940.473633	-2986.569336	-6225.375977	-2437.5	-765.5561523	-2263.897461	-3060.338867	-1078.927734	-1804.748047	-2238.222168	-3099.384277	-3549.682129	-4715.563965	-1454.78125	-5439.57373	-2923.809082	-4330.971924	-2438.737305	-2979.671875	-2995.727051	-2403.529785	-2677.710938	-4107.482666	-4867.21875
feat9	0	1617.790283	1353.912842	1339.172119	1290.725342	0	1535.00769	1394.088379	2696	1618.201904	2563.907227	0	2921.44043	0	0	0	1691.369019	0	0	1332.861572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3079.25	0	0	2522.964355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1884.717041	0	0	0	0	0	0	0	1227.061768	0	1522.42627	0	0	1670.06311	0	3025.482178	1969.903198	1974.005005	1401.782593	1444.869873	0	2824.872314	2425.050049	1190.656128	1623.25	1349.410034	1705.740112	1624.720825	1341.009155	1422.253418	1528.68042
feat10	-6330.815104	12087.08529	16017.44857	16147.72982	12059.04232	-8318.266276	30383.93685	59736.17904	12990.66732	18488.90169	18336.33529	-13971.86296	47600.99154	-10867.55729	-9893.729167	-10148.76042	37687.73372	-9177.295573	-6791.334635	40465.91341	-8444.486979	-6149.822917	-7913.346354	-6520.639323	-7643.676432	-7870.902995	-7086.770182	-12658.23796	-7379.010417	-21798.86198	-7389.897135	-9051.076823	-6342.031901	-4943.496745	-6627.385417	-5660.615885	-5502.69987	-7022.803385	-4822.317057	15154.94466	-11196.61198	-5222.156901	16825.66341	-7032.229167	-4488.658854	-8668.658854	-4647.963542	-6363.711589	-8144.492839	-4872.684245	-6542.188151	-5486.086589	-5751.16276	-6731.79362	-7270.953776	-6601.119792	-7053.152995	-6466.983073	-11352.45182	11729.78841	-10618.98307	-5153.440104	-3733.740885	-13326.49479	-6041.442057	-5329.777995	-8538.504557	16491.69857	-6945.91862	19287.60091	-5345.647135	-9852.660807	17796.24544	-5585.848307	18261.00326	13447.31966	13149.96029	17980.04232	11722.74544	-6369.985026	13873.42904	16025.80013	18283.24154	14661.54622	17861.35482	21361.41732	20455.29622	17573.28451	21362.80794	17703.82747
