Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.655074	0.00170434	251.782	384.356
1/delta	0.000157027	1.13554e-10	217.144	1.38284e+06
nu	0.0033309	2.41039e-09	4602.93	1.38189e+06
SaCNY231_FJ	1.59144e-05	2.3116e-10	1.09564	68845.7
SaCNS296_PL	6.35449e-05	7.53243e-10	5.36076	84361.8
SaCNH996_SC	9.91605e-06	9.83219e-11	1.00006	100853
SaCNX891_PM	4.91386e-05	5.13383e-10	4.70332	95715.4
SaCNQ748_GU	3.79589e-05	4.74593e-10	3.03604	79982.2
SaCNQ884_GU	1.52376e-05	2.0799e-10	1.11633	73261.2
SaCNH718_RS	2.76476e-05	3.73931e-10	2.0442	73937.7
SaCNY230_FJ	1.50907e-05	2.0033e-10	1.13677	75329.2
SaCNS243_PL	1.66184e-05	2.26118e-10	1.22136	73494.6
SaCNY280_FJ	2.62571e-05	3.21218e-10	2.14632	81742.5
SaCNR921_PL	1.45973e-05	2.1097e-10	1.01	69191.2
SaCNT799_HI	1.94288e-05	1.91385e-10	1.97235	101517
SaCNT005_FJ	4.88024e-05	5.73565e-10	4.15241	85086.1
SaCNX508_PM	2.40718e-05	2.93698e-10	1.97294	81960.9
SaCNY244_FJ	1.0443e-05	1.06623e-10	1.02281	97942.8
SaCNS848_FJ	3.89052e-05	4.18095e-10	3.62026	93053.5
SaCNY282_FJ	2.61067e-05	3.41907e-10	1.9934	76356.1
SaCNS820_FJ	6.40519e-05	7.70338e-10	5.32578	83147.8
SaCNS325_PL	8.26006e-05	8.30981e-10	8.21061	99401.4
SaCNY234_FJ	6.24909e-05	7.26484e-10	5.37536	86018.3
SaCNY260_FJ	4.09914e-05	5.23306e-10	3.21093	78331.7
SaDSM45545_FJ	4.03251e-05	4.80822e-10	3.38195	83867
SaCNH962_SC	0.000115264	1.31042e-09	10.1387	87960.2
SaCNY486_PV	8.66862e-05	8.68715e-10	8.65013	99786.7
SaCNS051_PL	6.61128e-05	6.62151e-10	6.60108	99845.6
SaCNY011_BA	1.94229e-05	1.91328e-10	1.97174	101516
SaCNX481_PM	2.52384e-05	3.06065e-10	2.08118	82460.9
SaCNS342_FJ	7.1842e-05	7.35673e-10	7.01572	97654.9
SaCNH646_BA	0.000123744	1.25345e-09	12.2164	98723.2
SaCNR107_GU	1.57383e-05	2.30186e-10	1.07606	68371.9
SaCNY679_YU	3.36171e-05	3.5589e-10	3.17545	94459.4
SaCNH877_BA	1.94199e-05	1.91299e-10	1.97143	101516
SaCNH713_RS	2.64284e-05	3.64611e-10	1.91563	72483.7
SaCNX814_PM	5.27085e-05	6.39325e-10	4.3455	82444
SaCNY256_FJ	3.07458e-05	3.97327e-10	2.37915	77381.4
SaCNR425_GU	3.02184e-05	3.93274e-10	2.32192	76837.9
SaCNH905_BA	5.73769e-05	5.65977e-10	5.81668	101377
SaCNY237_FJ	4.43212e-05	5.84141e-10	3.36284	75874.2
SaCNS205_PL	8.75414e-05	2.70332e-09	2.83485	32382.9
SaCNH643_BA	5.99205e-05	6.31275e-10	5.68765	94919.8
SaCNS673_FJ	1.54819e-05	2.05527e-10	1.16621	75327.6
SaCNY690_YU	3.13643e-05	4.11715e-10	2.38933	76179.7
SaCNB458_BA	1.6929e-05	2.31356e-10	1.23874	73172.8
SaCNY685_YU	2.01998e-05	2.90551e-10	1.40433	69522.2
SaCNY694_YU	2.79389e-05	3.68423e-10	2.11872	75833.9
SaCNT798_HI	1.94173e-05	1.91274e-10	1.97117	101516
SaCNH964_SC	1.94263e-05	1.91361e-10	1.97209	101517
SaCNX482_PM	2.78129e-05	3.35801e-10	2.30363	82825.7
SaCNS744_FJ	4.28199e-05	5.24082e-10	3.49858	81704.6
NODE_60	7.74732e-05	7.83414e-10	7.66147	98891.9
NODE_61	5.13756e-05	5.6815e-10	4.6457	90426.1
NODE_62	1.49747e-05	2.24104e-10	1.00061	66820.4
NODE_63	6.76102e-05	6.93573e-10	6.59071	97481
NODE_64	5.90348e-05	5.93135e-10	5.87575	99530.2
NODE_65	1.48267e-05	2.18925e-10	1.00413	67724.8
NODE_66	3.59254e-05	3.64899e-10	3.53696	98453
NODE_67	4.51392e-05	5.75974e-10	3.53757	78370.1
NODE_68	1.82359e-05	1.98174e-10	1.67805	92019.4
NODE_69	5.51421e-05	7.00803e-10	4.33881	78684.1
NODE_70	3.91795e-05	3.93403e-10	3.90194	99591.3
NODE_71	5.73868e-05	5.66073e-10	5.8177	101377
NODE_72	6.89802e-05	6.99905e-10	6.79844	98556.5
NODE_73	3.98432e-05	3.94871e-10	4.02025	100902
NODE_74	4.46008e-05	4.71943e-10	4.21499	94504.7
NODE_75	1.94347e-05	1.91442e-10	1.97296	101517
NODE_76	1.60194e-05	2.36215e-10	1.08639	67817.2
NODE_77	3.85508e-05	4.03474e-10	3.68342	95547.2
NODE_78	4.14334e-05	4.29009e-10	4.00161	96579.2
NODE_79	3.40265e-05	4.19279e-10	2.76141	81154.8
NODE_81	4.99654e-05	5.18478e-10	4.81514	96369.5
NODE_82	2.31003e-05	2.47764e-10	2.15377	93235.3
NODE_83	2.23111e-05	2.25741e-10	2.20512	98835.1
NODE_84	1.05588e-05	1.09356e-10	1.01949	96553.7
NODE_85	3.0455e-05	3.09223e-10	2.99948	98488.8
NODE_86	1.86541e-05	2.55166e-10	1.36372	73105.7
NODE_87	6.6337e-05	7.53339e-10	5.84146	88057.3
NODE_88	7.61741e-05	7.78806e-10	7.4505	97808.9
NODE_89	2.96886e-05	2.9716e-10	2.96612	99907.7
NODE_90	1.29166e-05	1.43809e-10	1.16013	89817.5
NODE_91	5.22065e-05	5.41555e-10	5.03276	96401.1
NODE_92	5.84694e-05	6.05769e-10	5.64352	96520.9
NODE_93	4.94382e-05	5.00809e-10	4.88038	98716.7
NODE_94	5.13093e-05	6.45721e-10	4.07707	79460.6
NODE_95	4.98515e-05	5.02308e-10	4.94751	99245
NODE_96	3.89571e-05	3.87083e-10	3.92075	100643
NODE_97	5.23196e-05	5.24487e-10	5.21907	99753.8
NODE_98	8.8168e-05	8.77777e-10	8.856	100445
NODE_99	6.28716e-05	7.12267e-10	5.54966	88269.7
NODE_100	8.75955e-05	8.85965e-10	8.66058	98870.1
NODE_101	7.55727e-05	9.59728e-10	5.9509	78744
NODE_102	7.29509e-05	7.86427e-10	6.76711	92762.4
NODE_103	5.20706e-05	6.08908e-10	4.4528	85514.7
NODE_104	5.80244e-05	6.21069e-10	5.42103	93426.7
NODE_105	8.77172e-05	9.03322e-10	8.51779	97105.2
NODE_106	4.68723e-05	4.78927e-10	4.58737	97869.4
NODE_107	0.000112713	1.17155e-09	10.844	96208.5
NODE_108	4.48559e-05	4.88863e-10	4.11579	91755.7
