Node	Beg	End
SaCNY231_FJ	57947	91550
SaCNS296_PL	65709	87024
SaCNH996_SC	67332	67438
SaCNQ748_GU	64105	91550
SaCNQ884_GU	58213	86468
SaCNH718_RS	58213	91550
SaCNY230_FJ	58066	91550
SaCNS243_PL	58567	91550
SaCNY280_FJ	57878	69345
SaCNY280_FJ	83119	91550
SaCNR921_PL	58051	91550
SaCNT005_FJ	68941	91550
SaCNX508_PM	57827	87832
SaCNY244_FJ	82670	85751
SaCNS848_FJ	57827	69322
SaCNY282_FJ	57857	91550
SaCNS820_FJ	63977	91550
SaCNY234_FJ	68065	86740
SaCNY260_FJ	58066	91550
SaDSM45545_FJ	57153	83447
SaCNH962_SC	71272	83168
SaCNY486_PV	72172	73130
SaCNX481_PM	57995	76696
SaCNR107_GU	57947	91550
SaCNY679_YU	71598	78252
SaCNH713_RS	58060	91550
SaCNX814_PM	57827	63461
SaCNX814_PM	75603	91550
SaCNY256_FJ	58343	91550
SaCNR425_GU	59177	91550
SaCNY237_FJ	58066	91550
SaCNS205_PL	1	67070
SaCNS205_PL	87199	88763
SaCNS673_FJ	57947	91550
SaCNY690_YU	59896	91550
SaCNB458_BA	58030	91550
SaCNY685_YU	57832	91550
SaCNY694_YU	58841	91550
SaCNX482_PM	57995	58449
SaCNX482_PM	65815	91550
SaCNS744_FJ	58343	91550
NODE_60	70024	71493
NODE_61	63979	68512
NODE_61	86779	91550
NODE_62	57118	91550
NODE_63	71419	74125
NODE_65	57962	91550
NODE_66	57947	60113
NODE_67	58060	91550
NODE_68	59062	61055
NODE_68	82106	91550
NODE_69	58984	91550
NODE_74	68682	75036
NODE_76	57827	91550
NODE_77	72737	77953
NODE_78	66490	67435
NODE_79	66725	91550
NODE_81	86957	91550
NODE_82	63509	74440
NODE_84	83863	86838
NODE_85	66980	69430
NODE_86	57407	91550
NODE_87	68749	83815
NODE_89	73426	74440
NODE_90	68558	83359
NODE_91	61990	66500
NODE_94	57827	64466
NODE_94	77896	91550
NODE_95	89375	91550
NODE_97	67028	68473
NODE_99	70221	82264
NODE_101	57486	66923
NODE_101	77171	91550
NODE_102	85116	91550
NODE_103	67359	78907
NODE_103	88431	91550
NODE_104	83117	91550
NODE_107	63158	74890
NODE_108	58065	59414
NODE_108	83917	91550
NODE_109	62822	91550
NODE_110	59529	73426
NODE_111	57827	91550
NODE_112	59183	70233
NODE_115	73104	75683
