Parameter	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	0.0687066	3.54218e-05	133.268	1939.67
1/delta	0.000739446	4.18448e-09	130.668	176711
nu	0.0318355	1.81166e-07	5594.3	175725
SaCNQ884_GU	0.00107461	3.66877e-08	31.4764	29290.9
SaCNS820_FJ	0.000944804	3.22441e-08	27.6843	29301.6
SaCNX891_PM	0.000667312	2.29378e-08	19.4136	29092.3
SpCNS237_PL	0.000197328	1.59761e-08	2.43728	12351.4
SpDSM45547_FJ	0.00118617	4.0476e-08	34.7614	29305.5
SpCNY703_MD	0.00053987	1.88599e-08	15.454	28625.3
SaCNY244_FJ	0.00111218	3.79964e-08	32.5544	29270.7
SpCNS996_FJ	0.000508038	1.73325e-08	14.8913	29311.3
SaDSM45545_FJ	0.000813081	2.77416e-08	23.8307	29309.1
SaCNQ748_GU	0.000238435	8.13269e-09	6.99048	29318.1
SaCNH877_BA	0.000204386	6.97127e-09	5.99224	29318.3
SaCNY486_PV	0.000238426	8.1324e-09	6.99021	29318.1
SpCNY202_SC	8.88584e-05	7.88043e-09	1.00195	11275.8
SaCNY237_FJ	0.000892133	3.04918e-08	26.1021	29258.1
SaCNY260_FJ	0.000838566	2.86662e-08	24.5304	29252.8
SaCNH646_BA	0.000272492	9.29436e-09	7.98893	29318
SaCNS673_FJ	0.000670779	2.28942e-08	19.6532	29299.1
SaCNY256_FJ	0.00058151	1.99034e-08	16.9898	29216.6
SaCNS296_PL	0.000768519	2.62842e-08	22.4706	29238.9
SaCNB458_BA	0.000713473	2.43396e-08	20.9143	29313.3
SaCNT005_FJ	0.000373482	1.27401e-08	10.9488	29315.4
SaCNY694_YU	0.000887063	3.06406e-08	25.681	28950.5
SaCNR921_PL	0.00117532	4.01264e-08	34.4259	29290.6
SaCNY230_FJ	0.00149395	5.1066e-08	43.7062	29255.4
SpCNY646_RS	8.31085e-05	6.8262e-09	1.01184	12174.9
SaCNS744_FJ	0.000680747	2.32215e-08	19.9563	29315.3
SaCNS299_PL	0.00110984	3.78891e-08	32.5091	29291.7
SaCNS051_PL	0.00100537	3.44627e-08	29.3293	29172.7
SpDSM45549_FJ	0.000158094	1.29108e-08	1.93587	12245.1
SpCNT584_FJ	0.00108492	3.73698e-08	31.4973	29031.9
SaCNY685_YU	0.00122255	4.17158e-08	35.8291	29306.8
SaCNS243_PL	0.000136272	4.64797e-09	3.99529	29318.6
SaCNR107_GU	0.000136271	4.64795e-09	3.99527	29318.6
SaCNY011_BA	0.000581807	1.98941e-08	17.015	29245.1
SaCNT857_HI	0.000102217	3.48641e-09	2.99687	29318.7
SpDSM45543_FJ	0.000563496	1.92386e-08	16.5048	29289.9
SpCNY673_MD	0.000354123	1.20962e-08	10.3671	29275.5
SaCNS848_FJ	0.000455124	1.5578e-08	13.2968	29215.8
SaCNR425_GU	6.81633e-05	2.3249e-09	1.99847	29318.8
SaCNH905_BA	0.000102216	3.48639e-09	2.99685	29318.7
SaCNY231_FJ	0.000537197	1.83288e-08	15.7446	29308.8
SaCNS325_PL	0.00094247	3.2224e-08	27.5649	29247.5
SaCNH718_RS	0.0015951	5.45152e-08	46.6723	29259.8
SaCNY280_FJ	0.000781095	2.66476e-08	22.8955	29312
SaCNY282_FJ	0.000628819	2.15488e-08	18.3497	29181.2
SpCNT854_HI	0.00138915	4.77791e-08	40.3886	29074.4
SaCNY679_YU	0.00020438	6.97106e-09	5.99206	29318.3
SaCNX508_PM	0.000814873	2.77999e-08	23.8856	29312.1
SaCNX814_PM	0.0002725	9.2946e-09	7.98915	29318
SaCNX481_PM	0.000535495	1.82746e-08	15.6914	29302.7
SpCNT045_FJ	0.000990559	3.40744e-08	28.7961	29070.5
SaCNX482_PM	0.000578948	1.97481e-08	16.9728	29316.6
SaCNB527_BA	0.00152025	5.19706e-08	44.4705	29252.1
