bgcname	cluster	bp_count	repseq	genedescription
staurosporine	cluster0	1308	rebG	4'-demethylrebeccamycin synthase
staurosporine	cluster1	1515	rebO	Flavin-dependent L-tryptophan oxidase RebO
staurosporine	cluster2	1707	tfdB	2,4-dichlorophenol 6-monooxygenase
staurosporine	cluster3	1257	yjiB	Putative cytochrome P450 YjiB
staurosporine	cluster4	657	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
staurosporine	cluster5	1227	LFOLEMLJ_01454	Cytochrome P450 107B1
staurosporine	cluster6	1122	megDII	dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase
staurosporine	cluster7	3216	rebD	Dichlorochromopyrrolate synthase
staurosporine	cluster8	1005	fcl_1	GDP-L-fucose synthase
staurosporine	cluster9	849	LFOLEMLJ_01449	27-O-demethylrifamycin SV methyltransferase
sporolide	cluster1	987	BFADNKPB_02878	hypothetical protein
sporolide	cluster10	786	rhaR_6	HTH-type transcriptional activator RhaR
sporolide	cluster11	465	BJKHBJBP_02656	hypothetical protein
sporolide	cluster12	498	BJKHBJBP_02672	hypothetical protein
sporolide	cluster13	441	BJKHBJBP_02663	hypothetical protein
sporolide	cluster14	372	BJKHBJBP_02673	hypothetical protein
sporolide	cluster15	432	BJKHBJBP_02674	hypothetical protein
sporolide	cluster16	633	BJKHBJBP_02660	hypothetical protein
sporolide	cluster17	669	MKOOBEOE_02772	hypothetical protein
sporolide	cluster18	594	MKOOBEOE_02774	hypothetical protein
sporolide	cluster19	537	ntaB	FMN reductase (NADH) NtaB
sporolide	cluster2	999	BJKHBJBP_02652	hypothetical protein
sporolide	cluster20	564	BJKHBJBP_02647	hypothetical protein
sporolide	cluster21	2169	aml	Alpha-amylase
sporolide	cluster22	5772	MKOOBEOE_02785	hypothetical protein
sporolide	cluster23	1653	BJKHBJBP_02648	hypothetical protein
sporolide	cluster24	1974	BJKHBJBP_02653	hypothetical protein
sporolide	cluster3	921	MKOOBEOE_02794	hypothetical protein
sporolide	cluster4	987	MKOOBEOE_02786	hypothetical protein
sporolide	cluster5	1270	GNGPOLMB_00661	IS1380 family transposase ISMsm10
sporolide	cluster6	1359	BJKHBJBP_02658	Epi-isozizaene 5-monooxygenase/(E)-beta-farnesene synthase
sporolide	cluster7	1083	BJKHBJBP_02649	hypothetical protein
sporolide	cluster8	1020	BJKHBJBP_02675	Acyl-CoA dehydrogenase FadE28
sporolide	cluster9	1065	BJKHBJBP_02650	hypothetical protein
