"Id","Label","clade","size"
"BGC0000018.1","Angolamycin","knownBGC","5"
"BGC0000033.1","Calicheamicin","knownBGC","5"
"BGC0000096.1","Midecamycin","knownBGC","5"
"BGC0000113.1","Niddamycin","knownBGC","5"
"BGC0000137.1","Rifamycin","knownBGC","5"
"BGC0000142.1","Salinilactam","knownBGC","5"
"BGC0000145.1","SalinosporamideA","knownBGC","5"
"BGC0000150.1","Sporolide","knownBGC","5"
"BGC0000166.1","Tylactone","knownBGC","5"
"BGC0000240.1","Lomaiviticin","knownBGC","5"
"BGC0000241.1","Lomaiviticin","knownBGC","5"
"BGC0000333.1","Cyclomarin","knownBGC","5"
"BGC0000468.1","BottromycinA2","knownBGC","5"
"BGC0000469.1","BottromycinA2","knownBGC","5"
"BGC0000495.1","Actagardine","knownBGC","5"
"BGC0000827.1","Staurosporine","knownBGC","5"
"BGC0001006.1","Lymphostin","knownBGC","5"
"BGC0001007.1","Lymphostin","knownBGC","5"
"BGC0001041.1","Salinosporamide","knownBGC","5"
"BGC0001077.1","Alkyl-O-Dihydrogeranyl-Methoxyhydroquinones","knownBGC","5"
"BGC0001087.1","Sioxanthin","knownBGC","5"
"BGC0001157.1","Bottromycin","knownBGC","5"
"BGC0001228.1","Retimycin","knownBGC","5"
"BGC0001237.1","Thiolactomycin","knownBGC","5"
"BGC0001287.1","ChaxamycinA/chaxamycinB/chaxamycinC/chaxamycinD","knownBGC","5"
"BGC0001330.1","BE-43547A1-C2","knownBGC","5"
"BGC0001331.1","BE-43547A1-C2","knownBGC","5"
"BGC0001368.1","Tambromycin","knownBGC","5"
"BGC0001458.1","Salinipostin","knownBGC","5"
"BGC0001491.1","67–121C","knownBGC","5"
"BGC0001693.1","Nenestatin","knownBGC","5"
"BGC0001767.1","Salinichelins","knownBGC","5"
"BGC0001812.1","Tylactone","knownBGC","5"
"BGC0001830.1","Rosamicin/salinipyroneA/pacificanoneA","knownBGC","5"
"SA_CNB458.cluster001","SACNB458_cluster001","clade10","1"
"SA_CNB458.cluster002","SACNB458_cluster002","clade10","1"
"SA_CNB458.cluster003","SACNB458_cluster003","clade10","1"
"SA_CNB458.cluster004","SACNB458_cluster004","clade10","1"
"SA_CNB458.cluster005","SACNB458_cluster005","clade10","1"
"SA_CNB458.cluster006","SACNB458_cluster006","clade10","1"
"SA_CNB458.cluster007","SACNB458_cluster007","clade10","1"
"SA_CNB458.cluster008","SACNB458_cluster008","clade10","1"
"SA_CNB458.cluster009","SACNB458_cluster009","clade10","1"
"SA_CNB458.cluster010","SACNB458_cluster010","clade10","1"
