Node	Beg	End
SpCNS237_PL	1	5351
SpCNS237_PL	6107	18508
SpCNY703_MD	1864	1903
SpCNY202_SC	749	18730
SpCNY646_RS	382	5258
SpCNY646_RS	6608	19001
SpDSM45549_FJ	386	5343
SpDSM45549_FJ	6055	18480
SpCNT584_FJ	1864	1907
SpCNT045_FJ	1864	1903
SpCNT124_FJ	4833	4858
SpCNS860_FJ	1864	2017
SpCNS860_FJ	3569	3682
SpCNS860_FJ	4835	4994
SaCNS342_FJ	5021	5051
NODE_78	5703	6136
NODE_79	5970	6206
NODE_83	5715	6347
NODE_84	7477	8253
NODE_84	15487	16995
NODE_85	991	13279
NODE_85	14332	18997
NODE_87	943	1168
NODE_87	3619	5448
NODE_87	8475	11033
NODE_88	951	19001
NODE_90	802	18714
NODE_91	984	3195
NODE_92	787	18716
NODE_96	4574	5872
NODE_96	7219	7719
NODE_98	5030	5676
NODE_98	6227	6550
NODE_100	7424	8966
NODE_108	19124	19319
NODE_117	19136	19319
NODE_123	15964	16244
NODE_126	6510	7458
NODE_132	5652	5800
NODE_135	6510	6788
