Id	Label	clade	module	gcf.num	mod2gcf	bigscape.class	predicted.type
SaCNY690_YU.contig_3.region001	SaCNY690_YU_c3_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS299_PL.contig_7.region001	SaCNS299_PL_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNS996_FJ.contig_5.region001	SpCNS996_FJ_c5_001	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SpCNS237_PL.contig_0.region004	SpCNS237_PL_c0_004	mooreana	M0	GCF4222	M0_GCF4222	Others	indole
SaCNX508_PM.contig_4.region001	SaCNX508_PM_c4_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH996B_SC.contig_5.region001	SaCNH996B_SC_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS205_PL.contig_0.region012	SaCNS205_PL_c0_012	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNT859_HI.contig_19.region001	SaCNT859_HI_c19_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpDSM45543_FJ.contig_0.region008	SpDSM45543_FJ_c0_008	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SpCNY646_RS.contig_3.region002	SpCNY646_RS_c3_002	mooreana	M0	GCF4222	M0_GCF4222	Others	indole
SaCNT800_HI.contig_6.region001	SaCNT800_HI_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY011_BA.contig_5.region001	SaCNY011_BA_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNX482_PM.contig_3.region002	SaCNX482_PM_c3_002	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNT403_FJ.contig_4.region001	SpCNT403_FJ_c4_001	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNY230_FJ.contig_7.region001	SaCNY230_FJ_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNT045_FJ.contig_0.region003	SpCNT045_FJ_c0_003	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNS296_PL.contig_7.region001	SaCNS296_PL_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH905_BA.contig_7.region001	SaCNH905_BA_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY280_FJ.contig_0.region001	SaCNY280_FJ_c0_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNR107_GU.contig_6.region001	SaCNR107_GU_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS820_FJ.contig_6.region001	SaCNS820_FJ_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNY703_MD.contig_2.region001	SpCNY703_MD_c2_001	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
