Id,Label,clade,size,gcf.num,modularity_class
SpCNT124_FJ.contig_2.region002,SpCNT124_FJ_c2_002,oceanensis,1,GCF4222,M0
SpDSM45549_FJ.contig_0.region002,SpDSM45549_FJ_c0_002,mooreana,1,GCF4222,M0
SaCNH996_SC.contig_7.region001,SaCNH996_SC_c7_001,arenicola,1,GCF2045,M0
SaCNY011_BA.contig_5.region001,SaCNY011_BA_c5_001,arenicola,1,GCF2045,M0
SaCNH713_RS.contig_8.region001,SaCNH713_RS_c8_001,arenicola,1,GCF2045,M0
SaCNS744_FJ.contig_5.region001,SaCNS744_FJ_c5_001,arenicola,1,GCF2045,M0
SaCNY230_FJ.contig_7.region001,SaCNY230_FJ_c7_001,arenicola,1,GCF2045,M0
SaCNY234_FJ.contig_8.region001,SaCNY234_FJ_c8_001,arenicola,1,GCF2045,M0
SaCNH996B_SC.contig_5.region001,SaCNH996B_SC_c5_001,arenicola,1,GCF2045,M0
SpCNY202_SC.contig_45.region001,SpCNY202_SC_c45_001,cortesiana,1,GCF4222,M0
SpCNS996_FJ.contig_5.region001,SpCNS996_FJ_c5_001,oceanensis,1,GCF4222,M0
SpCNT584_FJ.contig_1.region001,SpCNT584_FJ_c1_001,oceanensis,1,GCF4222,M0
SaCNT857_HI.contig_11.region001,SaCNT857_HI_c11_001,arenicola,1,GCF2045,M0
SaCNH963_SC.contig_7.region001,SaCNH963_SC_c7_001,arenicola,1,GCF2045,M0
SaCNS820_FJ.contig_6.region001,SaCNS820_FJ_c6_001,arenicola,1,GCF2045,M0
BGC0000827.1,Staurosporine,knownBGC,5,GCF2045,M0
SaCNY282_FJ.contig_7.region001,SaCNY282_FJ_c7_001,arenicola,1,GCF2045,M0
SaCNY694_YU.contig_14.region001,SaCNY694_YU_c14_001,arenicola,1,GCF2045,M0
SaCNB527_BA.contig_2.region001,SaCNB527_BA_c2_001,arenicola,1,GCF2045,M0
SaCNY260_FJ.contig_10.region002,SaCNY260_FJ_c10_002,arenicola,1,GCF2045,M0
SaCNS673_FJ.contig_5.region001,SaCNS673_FJ_c5_001,arenicola,1,GCF2045,M0
SaCNY280_FJ.contig_0.region001,SaCNY280_FJ_c0_001,arenicola,1,GCF2045,M0
SaCNH962_SC.contig_5.region001,SaCNH962_SC_c5_001,arenicola,1,GCF2045,M0
SaCNT850_HI.contig_11.region001,SaCNT850_HI_c11_001,arenicola,1,GCF2045,M0
SaCNX508_PM.contig_4.region001,SaCNX508_PM_c4_001,arenicola,1,GCF2045,M0
SaCNX481_PM.contig_3.region002,SaCNX481_PM_c3_002,arenicola,1,GCF2045,M0
SaCNX814_PM.contig_5.region002,SaCNX814_PM_c5_002,arenicola,1,GCF2045,M0
SaCNP105_SC.contig_7.region001,SaCNP105_SC_c7_001,arenicola,1,GCF2045,M0
SpCNS237_PL.contig_0.region004,SpCNS237_PL_c0_004,mooreana,1,GCF4222,M0
SpCNT403_FJ.contig_4.region001,SpCNT403_FJ_c4_001,oceanensis,1,GCF4222,M0
SaCNY690_YU.contig_3.region001,SaCNY690_YU_c3_001,arenicola,1,GCF2045,M0
SaCNT005_FJ.contig_6.region001,SaCNT005_FJ_c6_001,arenicola,1,GCF2045,M0
SaCNY231_FJ.contig_4.region001,SaCNY231_FJ_c4_001,arenicola,1,GCF2045,M0
SaCNR107_GU.contig_6.region001,SaCNR107_GU_c6_001,arenicola,1,GCF2045,M0
SaCNQ884_GU.contig_16.region001,SaCNQ884_GU_c16_001,arenicola,1,GCF2045,M0
SaCNY685_YU.contig_6.region001,SaCNY685_YU_c6_001,arenicola,1,GCF2045,M0
