gene	variable	value	bgcname	cluster	bp_count	repseq	genedescription
total.lomaiviticin.cluster0.aln	clade10	0	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade7	17.3333333333333	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade6	0	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade4	0	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade3	0	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade1	1.15151515151515	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade8	6.12648221343874	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade5	0	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster0.aln	clade2	1	lomaiviticin	cluster0	969	HHFHFFJP_01345	hypothetical protein
total.lomaiviticin.cluster1.aln	clade2	6	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade10	0	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade1	0.333333333333333	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade3	0	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade5	0	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade7	20	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade8	6.10276679841897	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade4	0	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster1.aln	clade6	0	lomaiviticin	cluster1	972	dagK	Diacylglycerol kinase
total.lomaiviticin.cluster10.aln	clade7	2	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade5	0	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade8	1.98418972332016	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade2	0	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade4	0	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade3	0	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade6	0	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade10	0	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster10.aln	clade1	1	lomaiviticin	cluster10	255	HHFHFFJP_01335	Oxytetracycline polyketide synthase acyl carrier protein
total.lomaiviticin.cluster11.aln	clade10	0	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade2	5	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade3	0	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade6	0	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade1	1.96969696969697	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade4	0	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade5	0	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
