Node	Beg	End
SaCNX814_PM	9712	10318
SpCNS237_PL	6876	12652
SpCNS103_PL	11061	11697
SaCNY679_YU	10065	13368
SaCNS673_FJ	6880	10494
SaDSM45545_FJ	6828	10531
SaCNS051_PL	12241	13368
SpCNY646_RS	6703	13368
SpCNT403_FJ	6727	12614
SpDSM45547_FJ	6724	12461
SaCNH646_BA	6694	8892
SaCNT859_HI	9502	13368
SaCNX481_PM	10464	13368
SpCNQ768_GU	12050	13368
SpCNR894_PL	12663	13368
SaCNY237_FJ	12678	13368
SpCNT855_HI	10447	13368
SaCNH905_BA	9963	12457
SaCNR107_GU	6697	7004
SaCNR107_GU	12336	13368
SaCNY230_FJ	8654	12715
SaCNY685_YU	8168	13368
SpCNT084_FJ	7799	8463
SaCNS342_FJ	6744	7338
SaCNH718_RS	8639	10296
SaCNX891_PM	11785	13368
SpCNY330_SC	13178	13368
SpCNY703_MD	6942	8561
SpDSM45544_FJ	12570	13368
SpCNY673_MD	6705	8600
SaCNY280_FJ	7003	10013
SpCNS055_PL	1	12577
SpCNT131_FJ	7989	8225
SpCNY202_SC	6973	12571
SpCNT124_FJ	7958	12262
SpCNT029_FJ	7105	12649
SpCNT045_FJ	10282	12587
SpDSM45549_FJ	1	13368
StCNB536_BA	9305	13368
SpCNT854_HI	9879	12642
SaCNY694_YU	11473	12638
SaCNH713_RS	7997	11524
SaCNY282_FJ	8762	10245
SpCNS996_FJ	9919	12573
SaCNS848_FJ	6712	11134
SaCNY244_FJ	12241	13368
NODE_116	7901	12619
NODE_118	7459	13368
NODE_121	6784	13368
NODE_131	13011	13368
NODE_137	1	12619
NODE_138	1	12619
NODE_139	8705	12608
NODE_140	11552	13368
NODE_141	6691	13368
NODE_142	9708	12091
NODE_144	1	12430
NODE_145	6947	8837
NODE_146	6724	13368
NODE_147	7194	12616
NODE_148	9044	12643
NODE_151	13284	13368
NODE_152	7614	13368
NODE_153	6973	12577
NODE_163	6700	12681
NODE_165	6718	10569
NODE_166	6691	13368
NODE_167	9028	13368
NODE_168	8540	12700
NODE_169	7756	8036
NODE_169	11312	12350
NODE_170	6694	13368
NODE_173	6779	13368
NODE_175	6744	9379
NODE_177	9169	13368
NODE_179	12664	13368
NODE_180	10224	12585
NODE_184	12241	13368
NODE_185	12301	13368
NODE_186	9193	13368
NODE_189	12277	12665
NODE_191	12571	13368
NODE_193	12638	13368
NODE_196	9224	10296
NODE_217	9388	9502
