	SaCNB458_BA	SaCNB527_BA	SaCNH643_BA	SaCNH646_BA	SaCNH713_RS	SaCNH718_RS	SaCNH877_BA	SaCNH905_BA	SaCNH941_SC	SaCNH962_SC	SaCNH963_SC	SaCNH964_SC	SaCNH996B_SC	SaCNH996_SC	SaCNP105_SC	SaCNP193_SC	SaCNQ748_GU	SaCNQ884_GU	SaCNR107_GU	SaCNR425_GU	SaCNR921_PL	SaCNS051_PL	SaCNS205_PL	SaCNS243_PL	SaCNS296_PL	SaCNS299_PL	SaCNS325_PL	SaCNS342_FJ	SaCNS673_FJ	SaCNS744_FJ	SaCNS820_FJ	SaCNS848_FJ	SaCNT005_FJ	SaCNT798_HI	SaCNT799_HI	SaCNT800_HI	SaCNT849_HI	SaCNT850_HI	SaCNT857_HI	SaCNT859_HI	SaCNX481_PM	SaCNX482_PM	SaCNX508_PM	SaCNX814_PM	SaCNX891_PM	SaCNY011_BA	SaCNY230_FJ	SaCNY231_FJ	SaCNY234_FJ	SaCNY237_FJ	SaCNY244_FJ	SaCNY256_FJ	SaCNY260_FJ	SaCNY280_FJ	SaCNY281_FJ	SaCNY282_FJ	SaCNY486_PV	SaCNY679_YU	SaCNY685_YU	SaCNY690_YU	SaCNY694_YU	SaDSM45545_FJ	SpCNH732_RS	SpCNQ768_GU	SpCNR114_GU	SpCNR510_GU	SpCNR894_PL	SpCNR909_PL	SpCNR942_PL	SpCNS055_PL	SpCNS103_PL	SpCNS237_PL	SpCNS801_FJ	SpCNS860_FJ	SpCNS996_FJ	SpCNT001_FJ	SpCNT003_FJ	SpCNT029_FJ	SpCNT045_FJ	SpCNT084_FJ	SpCNT124_FJ	SpCNT131_FJ	SpCNT133_FJ	SpCNT403_FJ	SpCNT569_FJ	SpCNT584_FJ	SpCNT603_FJ	SpCNT609_FJ	SpCNT796_HI	SpCNT851_HI	SpCNT854_HI	SpCNT855_HI	SpCNY202_SC	SpCNY239_FJ	SpCNY330_SC	SpCNY331_SC	SpCNY363_SC	SpCNY498_PV	SpCNY646_RS	SpCNY666_MD	SpCNY673_MD	SpCNY703_MD	SpDSM45543_FJ	SpDSM45544_FJ	SpDSM45547_FJ	SpDSM45548_FJ	SpDSM45549_FJ	StCNB440_BA	StCNB476_BA	StCNB536_BA	StCNH898_BA	StCNR699_BA	StCNS197_BA	StCNS416_BA	StCNT250_BA	StCNT261_BA	StCNY012_BA	StCNY678_YU	StCNY681_YU	VmarisAB18
SaCNB458_BA	100	99.06	96.77	96.82	96.63	96.68	96.71	96.76	96.66	96.77	96.77	96.64	96.76	96.79	96.63	96.66	96.65	96.66	96.68	96.65	96.73	96.7	96.66	96.63	96.64	96.7	96.66	96.67	96.67	96.64	96.68	96.61	96.63	96.61	96.61	96.63	96.6	96.62	96.57	96.54	96.6	96.55	96.61	96.59	96.59	96.71	96.66	96.62	96.66	96.64	96.69	96.66	96.65	96.63	94.7	96.66	96.75	96.72	99.13	99.47	99.45	96.62	87.43	87.36	87.33	87.37	87.38	87.36	87.08	87.05	87.32	87.04	86.9	87.1	87.11	87.37	87.48	86.93	87.09	87.05	87.11	87.34	87.1	87.06	87.1	87.19	87.38	86.96	87.13	87.26	87.17	87.28	87.42	87.4	87.41	87.42	87.38	87.43	87.12	87.27	87.07	87.02	87.04	87.4	86.94	86.95	87.26	87.81	87.88	87.91	87.79	87.8	87.87	87.78	87.68	87.86	87.69	87.67	87.78	81.81
SaCNB527_BA	99.06	100	96.69	96.74	96.55	96.58	96.68	96.67	96.55	96.67	96.71	96.53	96.72	96.72	96.52	96.56	96.59	96.63	96.63	96.6	96.63	96.67	96.59	96.59	96.62	96.61	96.57	96.62	96.58	96.62	96.61	96.55	96.59	96.55	96.56	96.53	96.54	96.56	96.52	96.5	96.52	96.52	96.49	96.5	96.5	96.68	96.58	96.56	96.57	96.63	96.65	96.61	96.58	96.51	94.63	96.56	96.72	96.66	99.22	99.09	99.03	96.57	87.17	87.19	87.29	87.22	87.13	87.28	87.13	87.1	87.22	87	86.98	86.95	86.96	87.3	87.23	86.89	87.01	86.91	86.99	87.21	86.93	87.01	87.11	87	87.16	87.03	87.12	87.17	87.02	87.14	87.4	87.28	87.23	87.28	87.2	87.24	87.06	87.15	87.01	86.94	86.97	87.22	86.87	86.92	87.33	87.75	87.72	87.76	87.79	87.75	87.66	87.86	87.81	87.71	87.84	87.65	87.67	81.7
SaCNH643_BA	96.77	96.69	100	99.74	98.83	98.72	99.54	99.65	98.91	98.27	98.25	98.9	98.21	98.2	98.89	98.9	98.74	98.73	98.66	98.75	98.74	98.73	98.71	98.7	98.7	98.72	98.73	98.76	98.73	98.73	98.73	98.94	98.71	98.94	98.98	98.93	98.93	99	98.89	98.86	98.53	98.52	98.54	98.51	98.49	99.57	98.68	98.71	98.73	98.74	98.76	98.73	98.7	98.95	94.84	98.72	98.2	99.57	96.69	96.79	96.74	98.97	87.23	87.24	87.41	87.25	87.25	87.31	87.31	87.13	87.25	86.9	86.9	87.04	87.06	87.22	87.29	86.93	87.1	86.96	87.17	87.27	87.12	87.02	87.29	87.12	87.26	87	87.11	87.14	87.13	87.32	87.35	87.36	87.31	87.31	87.2	87.25	87.08	86.94	87.02	86.92	87.07	87.23	86.91	86.89	87.24	87.59	87.58	87.69	87.57	87.69	87.66	87.5	87.52	87.64	87.58	87.55	87.5	81.71
SaCNH646_BA	96.82	96.74	99.74	100	98.8	98.72	99.52	99.68	98.93	98.25	98.26	98.93	98.25	98.23	98.93	98.93	98.72	98.71	98.71	98.75	98.73	98.75	98.7	98.71	98.73	98.7	98.74	98.74	98.72	98.74	98.71	98.97	98.75	98.95	98.97	98.94	98.94	98.98	98.9	98.89	98.55	98.56	98.55	98.55	98.53	99.56	98.74	98.73	98.74	98.74	98.76	98.74	98.73	98.96	94.84	98.73	98.24	99.55	96.78	96.79	96.84	98.99	87.23	87.25	87.28	87.27	87.24	87.25	87.28	87.18	87.26	86.85	86.88	87.05	87.07	87.21	87.23	86.87	87.04	87.01	87.1	87.18	87.13	87.04	87.28	87.13	87.26	86.95	87.05	87.07	87.04	87.3	87.3	87.27	87.26	87.26	87.19	87.25	87.14	86.88	86.88	86.93	87.08	87.32	86.9	86.87	87.18	87.51	87.64	87.62	87.55	87.66	87.65	87.53	87.5	87.65	87.57	87.5	87.52	81.75
SaCNH713_RS	96.63	96.55	98.83	98.8	100	99.01	98.78	98.81	98.9	98.31	98.3	98.87	98.26	98.27	98.89	98.9	98.85	98.87	98.84	98.87	98.87	98.85	98.84	98.87	98.84	98.84	98.88	98.87	98.88	98.87	98.85	99.01	98.87	98.96	99.02	98.97	98.96	99.02	98.94	98.91	98.66	98.64	98.64	98.64	98.64	98.77	98.88	98.85	98.81	98.87	98.88	98.88	98.85	99	94.9	98.83	98.26	98.7	96.58	96.62	96.65	99.01	87.33	87.31	87.4	87.34	87.34	87.23	87.37	87.18	87.28	87	86.97	87.06	87.1	87.55	87.24	86.99	87.16	87.1	87.19	87.22	87.29	87.17	87.31	87.2	87.41	87.06	87.1	87.26	87.27	87.33	87.46	87.25	87.29	87.29	87.37	87.36	87.33	86.95	86.99	87.02	87.12	87.35	86.93	86.88	87.33	87.5	87.59	87.69	87.74	87.66	87.56	87.54	87.52	87.76	87.51	87.52	87.51	81.8
SaCNH718_RS	96.68	96.58	98.72	98.72	99.01	100	98.62	98.7	98.83	98.37	98.39	98.83	98.35	98.35	98.83	98.84	99.1	99.07	99.08	99.07	99.11	99.1	99.05	99.1	99.09	99.11	99.05	99.04	99.08	99.09	99.09	98.85	99.1	98.86	98.85	98.86	98.86	98.86	98.78	98.77	98.77	98.79	98.8	98.77	98.81	98.63	99.01	99.05	99.05	99.09	99.09	99.07	99.08	98.84	94.98	99.06	98.36	98.6	96.64	96.7	96.66	98.85	87.27	87.27	87.25	87.39	87.29	87.26	87.26	87.1	87.25	86.97	87.04	87.35	87.44	87.32	87.28	86.97	87.37	86.99	87.26	87.42	87.16	87.25	87.25	87.2	87.36	87	87.03	86.99	87.18	87.33	87.43	87.3	87.27	87.23	87.21	87.34	87.23	86.89	86.96	86.99	87.32	87.32	86.96	87.05	87.19	87.53	87.68	87.7	87.55	87.7	87.65	87.56	87.56	87.65	87.55	87.55	87.6	81.85
SaCNH877_BA	96.71	96.68	99.54	99.52	98.78	98.62	100	99.53	98.83	98.18	98.19	98.82	98.13	98.16	98.8	98.82	98.63	98.63	98.62	98.67	98.66	98.62	98.65	98.64	98.66	98.65	98.63	98.66	98.63	98.67	98.64	98.92	98.65	98.86	98.89	98.86	98.86	98.88	98.85	98.81	98.48	98.46	98.49	98.5	98.47	99.88	98.66	98.68	98.66	98.68	98.7	98.66	98.64	98.89	94.76	98.63	98.15	99.62	96.66	96.74	96.75	98.9	87.08	87.15	87.03	87.09	87.06	87.13	87.23	87.13	87.1	86.9	86.86	86.88	86.86	87.06	87.16	86.86	86.91	86.98	86.97	87.14	86.96	86.9	87.26	86.95	87.03	86.91	87.06	86.99	86.92	87.1	87.41	87.14	87.11	87.2	87.12	87.17	86.94	86.84	86.89	86.88	86.92	87.13	86.85	86.86	87.1	87.54	87.55	87.5	87.59	87.44	87.42	87.58	87.53	87.43	87.54	87.47	87.54	81.74
SaCNH905_BA	96.76	96.67	99.65	99.68	98.81	98.7	99.53	100	98.87	98.24	98.24	98.87	98.19	98.19	98.88	98.88	98.73	98.7	98.71	98.75	98.74	98.73	98.7	98.69	98.72	98.72	98.74	98.72	98.74	98.73	98.72	98.93	98.71	98.99	98.96	98.99	98.98	98.97	98.94	98.88	98.46	98.52	98.56	98.54	98.52	99.55	98.69	98.7	98.73	98.71	98.75	98.73	98.73	98.95	94.87	98.7	98.2	99.62	96.7	96.77	96.73	98.96	87.35	87.4	87.39	87.47	87.36	87.34	87.29	87.1	87.38	86.83	86.94	87.06	87.08	87.36	87.34	86.88	87.15	86.97	87.17	87.4	87.13	87.08	87.27	87.16	87.44	87.02	87.12	87.24	87.09	87.28	87.38	87.42	87.44	87.37	87.45	87.36	87.06	86.99	86.89	86.93	87.03	87.39	86.86	86.88	87.11	87.56	87.66	87.72	87.52	87.66	87.66	87.52	87.48	87.65	87.56	87.52	87.53	81.74
SaCNH941_SC	96.66	96.55	98.91	98.93	98.9	98.83	98.83	98.87	100	98.33	98.33	99.83	98.28	98.26	99.84	100	98.82	98.81	98.83	98.82	98.82	98.84	98.81	98.84	98.84	98.83	98.83	98.81	98.84	98.85	98.85	99.07	98.86	99.04	99.08	99.05	99.03	99.09	98.98	98.95	98.63	98.62	98.64	98.65	98.62	98.85	98.84	98.84	98.84	98.85	98.85	98.82	98.85	99.03	94.82	98.83	98.32	98.84	96.59	96.63	96.65	99.05	87.28	87.39	87.36	87.33	87.39	87.32	87.5	87.1	87.39	86.98	86.88	87.04	87.2	87.33	87.34	86.86	87.21	87	87.15	87.33	87.16	87.08	87.41	87.24	87.27	86.97	87.08	87.1	87.2	87.33	87.55	87.4	87.41	87.33	87.27	87.4	87.11	86.95	86.89	86.93	87.02	87.37	86.95	86.87	87.16	87.69	87.81	87.74	87.73	87.76	87.83	87.64	87.7	87.83	87.71	87.76	87.69	81.64
SaCNH962_SC	96.77	96.67	98.27	98.25	98.31	98.37	98.18	98.24	98.33	100	99.99	98.31	99.75	99.76	98.33	98.32	98.35	98.35	98.34	98.36	98.36	98.31	98.34	98.36	98.39	98.39	98.35	98.35	98.33	98.33	98.36	98.31	98.37	98.31	98.32	98.32	98.32	98.33	98.26	98.22	98.17	98.16	98.17	98.16	98.2	98.17	98.36	98.33	98.35	98.37	98.37	98.34	98.39	98.29	94.84	98.35	99.78	98.2	96.68	96.8	96.74	98.35	87.18	87.27	87.28	87.19	87.2	87.27	87.16	87.03	87.3	86.93	86.81	87.25	87.25	87.22	87.27	86.91	87.27	86.95	87.14	87.25	87.09	87.25	87.23	87.15	87.26	86.94	86.95	86.99	87.17	87.22	87.59	87.27	87.31	87.28	87.23	87.27	87.16	86.96	86.92	86.91	87.27	87.21	86.89	86.84	87.17	87.51	87.65	87.63	87.56	87.61	87.64	87.54	87.56	87.61	87.56	87.5	87.5	81.81
