Node	Beg	End
SaCNB527_BA	12727	14437
SpDSM45547_FJ	23907	23989
SpCNS237_PL	1	32597
SpCNY673_MD	11347	11368
SaCNS820_FJ	31883	32597
SaCNH905_BA	1978	2228
SaCNH905_BA	25689	26346
SaCNY694_YU	4732	4774
SaDSM45545_FJ	9943	10095
SaCNT859_HI	14927	15504
SpCNT855_HI	23963	23972
SpCNY666_MD	1	32597
SpCNY646_RS	1	32597
SpCNS055_PL	1	1307
SpCNS055_PL	3933	32597
SpCNS801_FJ	13122	13830
SaCNH646_BA	28411	31442
SpCNY202_SC	1	32597
SpCNR114_GU	23868	23972
SaCNH877_BA	1978	2228
NODE_110	1	32597
NODE_119	1	32597
NODE_131	4069	16823
NODE_131	18968	32597
NODE_134	1	32597
NODE_135	1	32597
NODE_136	1232	1588
NODE_137	1	32597
NODE_139	1	2269
NODE_139	4037	32597
NODE_140	1	9862
NODE_140	13344	32597
NODE_146	23965	23989
NODE_151	1	32597
NODE_155	1	32597
NODE_156	2280	4342
NODE_156	11693	12323
NODE_156	32409	32597
NODE_164	1849	6368
NODE_166	26503	27426
NODE_175	24168	25612
NODE_178	4294	5266
NODE_178	12312	13299
NODE_179	24980	26608
NODE_180	4732	5860
NODE_188	16616	18008
NODE_188	19495	20510
NODE_209	4295	5300
