cluster1 cluster2
SpCNR942_PL.contig_0.region001 SaCNT798_HI.contig_23.region001
SpCNR942_PL.contig_0.region001 SaCNT799_HI.contig_25.region001
SpCNR942_PL.contig_0.region001 SaCNT800_HI.contig_21.region001
SpCNR942_PL.contig_0.region001 SaCNT849_HI.contig_21.region001
SpCNY646_RS.contig_5.region001 SaCNT849_HI.contig_8.region001
SpCNY202_SC.contig_6.region001 SaCNT850_HI.contig_5.region001
SpCNR942_PL.contig_0.region001 SaCNT850_HI.contig_26.region001
SpCNY646_RS.contig_5.region001 SaCNT850_HI.contig_5.region001
SpCNR942_PL.contig_0.region001 SaCNT857_HI.contig_19.region001
SpCNY646_RS.contig_5.region001 SaCNT857_HI.contig_14.region001
SpCNR942_PL.contig_0.region001 SaCNT859_HI.contig_26.region001
SpCNY202_SC.contig_6.region001 SaCNT859_HI.contig_16.region001
SpCNY646_RS.contig_5.region001 SaCNT859_HI.contig_16.region001
SpCNT569_FJ.contig_7.region001 SaCNT859_HI.contig_26.region001
SpCNR909_PL.contig_33.region001 SaCNX481_PM.contig_13.region001
SpCNY202_SC.contig_6.region001 SaCNX481_PM.contig_4.region001
StCNB536_BA.contig_37.region001 SaCNX481_PM.contig_13.region001
StCNR699_BA.contig_11.region001 SaCNX481_PM.contig_13.region001
SpCNS103_PL.contig_51.region001 SaCNX481_PM.contig_13.region001
SpDSM45543_FJ.contig_0.region019 SaCNX482_PM.contig_32.region001
SpCNR909_PL.contig_33.region001 SaCNX482_PM.contig_32.region001
StCNB536_BA.contig_37.region001 SaCNX482_PM.contig_32.region001
SpCNY239_FJ.contig_52.region001 SaCNX482_PM.contig_32.region001
SpCNT001_FJ.contig_35.region001 SaCNX482_PM.contig_32.region001
StCNR699_BA.contig_11.region001 SaCNX482_PM.contig_32.region001
SpCNS103_PL.contig_51.region001 SaCNX482_PM.contig_32.region001
SpCNR942_PL.contig_0.region001 SaCNY011_BA.contig_24.region001
SpCNY363_SC.contig_32.region001 SaCNY230_FJ.contig_37.region001
SpCNY331_SC.contig_83.region001 SaCNY230_FJ.contig_52.region001
SpCNY331_SC.contig_38.region001 SaCNY230_FJ.contig_37.region001
SpCNY363_SC.contig_73.region001 SaCNY230_FJ.contig_52.region001
SpCNT084_FJ.contig_39.region001 SaCNY231_FJ.contig_35.region001
SpCNY331_SC.contig_83.region001 SaCNY231_FJ.contig_20.region001
SpCNY363_SC.contig_32.region001 SaCNY231_FJ.contig_18.region001
SpCNT133_FJ.contig_40.region001 SaCNY231_FJ.contig_35.region001
SpCNY331_SC.contig_38.region001 SaCNY231_FJ.contig_18.region001
SpCNQ768_GU.contig_0.region001 SaCNY231_FJ.contig_35.region001
SpCNY363_SC.contig_73.region001 SaCNY231_FJ.contig_20.region001
SpCNY646_RS.contig_5.region001 SaCNY234_FJ.contig_4.region001
SpCNY646_RS.contig_5.region001 SaCNY237_FJ.contig_2.region001
SpCNY202_SC.contig_6.region001 SaCNY244_FJ.contig_0.region004
SpCNY646_RS.contig_5.region001 SaCNY244_FJ.contig_0.region004
SpCNY646_RS.contig_5.region001 SaCNY256_FJ.contig_8.region001
SpCNY646_RS.contig_5.region001 SaCNY260_FJ.contig_9.region002
StCNY012_BA.contig_2.region001 SaCNY280_FJ.contig_37.region001
StCNR699_BA.contig_1.region001 SaCNY280_FJ.contig_37.region001
SpCNY363_SC.contig_32.region001 SaCNY280_FJ.contig_21.region001
StCNB536_BA.contig_0.region001 SaCNY280_FJ.contig_37.region001
StCNB476_BA.contig_0.region001 SaCNY280_FJ.contig_37.region001
StCNT250_BA.contig_0.region001 SaCNY280_FJ.contig_37.region001
StCNY681_YU.contig_1.region001 SaCNY280_FJ.contig_37.region001
SpCNY331_SC.contig_83.region001 SaCNY280_FJ.contig_25.region001
StCNS416_BA.contig_1.region001 SaCNY280_FJ.contig_37.region001
StCNB440_BA.contig_0.region004 SaCNY280_FJ.contig_37.region001
SpCNT569_FJ.contig_7.region001 SaCNY280_FJ.contig_25.region001
SpCNY331_SC.contig_38.region001 SaCNY280_FJ.contig_21.region001
SpCNY202_SC.contig_6.region001 SaCNY280_FJ.contig_7.region002
StCNT261_BA.contig_0.region001 SaCNY280_FJ.contig_37.region001
SpCNR942_PL.contig_0.region001 SaCNY280_FJ.contig_25.region001
StCNS197_BA.contig_1.region002 SaCNY280_FJ.contig_37.region001
StCNH898_BA.contig_0.region001 SaCNY280_FJ.contig_37.region001
StCNY678_YU.contig_9.region001 SaCNY280_FJ.contig_37.region001
SpCNY363_SC.contig_73.region001 SaCNY280_FJ.contig_25.region001
SpCNY646_RS.contig_5.region001 SaCNY280_FJ.contig_7.region002
SpCNY646_RS.contig_5.region001 SaCNY282_FJ.contig_8.region001
SpCNY363_SC.contig_32.region001 SaCNY486_PV.contig_38.region001
SpCNY363_SC.contig_32.region001 SaCNY486_PV.contig_55.region001
SpCNY331_SC.contig_83.region001 SaCNY486_PV.contig_61.region001
SpCNY331_SC.contig_38.region001 SaCNY486_PV.contig_55.region001
