Node	Beg	End
StCNY678_YU	631	900
StCNY678_YU	8063	8110
SpCNS055_PL	230	8349
SpCNS055_PL	9265	9351
SpCNS055_PL	9759	11101
SpCNS055_PL	11720	11830
SpCNS055_PL	12493	24138
SpCNR909_PL	10774	10851
StCNY681_YU	595	931
SpCNT609_FJ	7957	7984
StCNB536_BA	5056	5079
StCNH898_BA	869	898
SpCNY363_SC	224	542
SpCNT796_HI	11381	11824
SpCNT796_HI	26619	27049
StCNS416_BA	610	930
NODE_27	258	625
NODE_27	2058	3639
NODE_27	5319	6090
NODE_27	7835	8173
NODE_27	10276	11626
NODE_27	25015	26360
NODE_31	154	306
NODE_37	421	637
NODE_37	3294	4231
NODE_37	22357	22488
NODE_38	263	634
NODE_38	1833	5305
NODE_38	6250	6604
NODE_38	7903	8289
NODE_38	9750	10598
NODE_38	12447	13845
NODE_38	15484	16595
NODE_38	18251	18383
NODE_39	1	8330
NODE_39	9276	10632
NODE_39	12453	21095
NODE_45	1001	1018
NODE_46	5056	5058
NODE_47	625	930
