Node	Beg	End
SpCNY666_MD	1	19243
SpCNY666_MD	27713	83455
SpCNY202_SC	1	19321
SpCNY202_SC	27748	83248
StCNR699_BA	36712	37058
SpCNS055_PL	1	19229
SpCNS055_PL	27774	83529
NODE_51	74814	74864
NODE_52	74826	74867
NODE_53	1	19321
NODE_53	27713	82822
NODE_54	1	19326
NODE_54	27701	82643
NODE_55	1	19295
NODE_55	27762	51207
NODE_55	52996	84964
NODE_57	1	13247
NODE_57	14343	19323
NODE_57	27777	78437
NODE_57	81077	82263
NODE_59	37716	39595
NODE_60	7795	18617
NODE_60	27713	53880
NODE_60	59070	65969
NODE_60	68193	82635
NODE_62	52870	56247
NODE_78	53631	57080
NODE_79	66508	69474
NODE_80	19241	27606
NODE_80	54037	56155
NODE_80	66517	69484
