"Id","Label","clade","size","GCF.num"
"BGC0000018.1","Angolamycin","knownBGC","5","GCF94"
"BGC0000033.1","Calicheamicin","knownBGC","5","GCF3313"
"BGC0000096.1","Midecamycin","knownBGC","5","GCF94"
"BGC0000113.1","Niddamycin","knownBGC","5","GCF94"
"BGC0000137.1","Rifamycin","knownBGC","5","GCF3433"
"BGC0000142.1","Salinilactam","knownBGC","5","GCF4604"
"BGC0000145.1","SalinosporamideA","knownBGC","5","GCF4735"
"BGC0000150.1","Sporolide","knownBGC","5","GCF4829"
"BGC0000166.1","Tylactone","knownBGC","5","GCF94"
"BGC0000198.1","ArenimycinB","knownBGC","5","GCF1825"
"BGC0000240.1","Lomaiviticin","knownBGC","5","GCF3964"
"BGC0000241.1","Lomaiviticin","knownBGC","5","GCF4730"
"BGC0000333.1","Cyclomarin","knownBGC","5","GCF329"
"BGC0000468.1","BottromycinA2","knownBGC","5","GCF1138"
"BGC0000469.1","BottromycinA2","knownBGC","5","GCF1138"
"BGC0000495.1","Actagardine","knownBGC","5","GCF485"
"BGC0000827.1","Staurosporine","knownBGC","5","GCF2045"
"BGC0001006.1","Lymphostin","knownBGC","5","GCF4605"
"BGC0001007.1","Lymphostin","knownBGC","5","GCF4605"
"BGC0001041.1","Salinosporamide","knownBGC","5","GCF4735"
"BGC0001077.1","Alkyl-O-Dihydrogeranyl-Methoxyhydroquinones","knownBGC","5","GCF4607"
"BGC0001087.1","Sioxanthin","knownBGC","5","GCF4068"
"BGC0001157.1","Bottromycin","knownBGC","5","GCF1138"
"BGC0001228.1","Retimycin","knownBGC","5","GCF2743"
"BGC0001237.1","Thiolactomycin","knownBGC","5","GCF3832"
"BGC0001287.1","ChaxamycinA/chaxamycinB/chaxamycinC/chaxamycinD","knownBGC","5","GCF2557"
"BGC0001330.1","BE-43547A1-C2","knownBGC","5","GCF2335"
"BGC0001331.1","BE-43547A1-C2","knownBGC","5","GCF2335"
"BGC0001368.1","Tambromycin","knownBGC","5","GCF3884"
"BGC0001458.1","Salinipostin","knownBGC","5","GCF1429"
"BGC0001491.1","67–121C","knownBGC","5","GCF4311"
"BGC0001693.1","Nenestatin","knownBGC","5","GCF3964"
"BGC0001767.1","Salinichelins","knownBGC","5","GCF3567"
"BGC0001812.1","Tylactone","knownBGC","5","GCF94"
"BGC0001830.1","Rosamicin/salinipyroneA/pacificanoneA","knownBGC","5","GCF94"
"SaCNB458_BA.contig_0.region001","SaCNB458_BA_c0_001","arenicola","1","GCF2547"
"SaCNB458_BA.contig_1.region001","SaCNB458_BA_c1_001","arenicola","1","GCF3059"
"SaCNB458_BA.contig_13.region001","SaCNB458_BA_c13_001","arenicola","1","GCF3069"
"SaCNB458_BA.contig_18.region001","SaCNB458_BA_c18_001","arenicola","1","GCF2530"
"SaCNB458_BA.contig_19.region001","SaCNB458_BA_c19_001","arenicola","1","GCF3070"
"SaCNB458_BA.contig_2.region001","SaCNB458_BA_c2_001","arenicola","1","GCF3439"
"SaCNB458_BA.contig_2.region002","SaCNB458_BA_c2_002","arenicola","1","GCF2414"
"SaCNB458_BA.contig_20.region001","SaCNB458_BA_c20_001","arenicola","1","GCF2010"
"SaCNB458_BA.contig_25.region001","SaCNB458_BA_c25_001","arenicola","1","GCF2557"
"SaCNB458_BA.contig_26.region001","SaCNB458_BA_c26_001","arenicola","1","GCF3537"
"SaCNB458_BA.contig_27.region001","SaCNB458_BA_c27_001","arenicola","1","GCF3865"
"SaCNB458_BA.contig_28.region001","SaCNB458_BA_c28_001","arenicola","1","GCF2042"
"SaCNB458_BA.contig_3.region001","SaCNB458_BA_c3_001","arenicola","1","GCF2046"
"SaCNB458_BA.contig_3.region002","SaCNB458_BA_c3_002","arenicola","1","GCF2047"
"SaCNB458_BA.contig_31.region001","SaCNB458_BA_c31_001","arenicola","1","GCF3394"
"SaCNB458_BA.contig_31.region002","SaCNB458_BA_c31_002","arenicola","1","GCF2559"
"SaCNB458_BA.contig_38.region001","SaCNB458_BA_c38_001","arenicola","1","GCF2038"
"SaCNB458_BA.contig_39.region001","SaCNB458_BA_c39_001","arenicola","1","GCF2031"
"SaCNB458_BA.contig_5.region001","SaCNB458_BA_c5_001","arenicola","1","GCF2045"
"SaCNB458_BA.contig_53.region001","SaCNB458_BA_c53_001","arenicola","1","GCF1947"
"SaCNB458_BA.contig_55.region001","SaCNB458_BA_c55_001","arenicola","1","GCF2044"
"SaCNB458_BA.contig_6.region001","SaCNB458_BA_c6_001","arenicola","1","GCF2165"
"SaCNB458_BA.contig_7.region001","SaCNB458_BA_c7_001","arenicola","1","GCF2040"
"SaCNB458_BA.contig_73.region001","SaCNB458_BA_c73_001","arenicola","1","GCF2162"
"SaCNB458_BA.contig_8.region001","SaCNB458_BA_c8_001","arenicola","1","GCF1937"
"SaCNB458_BA.contig_8.region002","SaCNB458_BA_c8_002","arenicola","1","GCF2172"
"SaCNB458_BA.contig_9.region001","SaCNB458_BA_c9_001","arenicola","1","GCF1958"
"SaCNB527_BA.contig_0.region001","SaCNB527_BA_c0_001","arenicola","1","GCF3439"
"SaCNB527_BA.contig_0.region002","SaCNB527_BA_c0_002","arenicola","1","GCF2414"
"SaCNB527_BA.contig_1.region001","SaCNB527_BA_c1_001","arenicola","1","GCF1825"
"SaCNB527_BA.contig_1.region002","SaCNB527_BA_c1_002","arenicola","1","GCF2547"
"SaCNB527_BA.contig_10.region001","SaCNB527_BA_c10_001","arenicola","1","GCF1958"
"SaCNB527_BA.contig_11.region001","SaCNB527_BA_c11_001","arenicola","1","GCF2046"
"SaCNB527_BA.contig_12.region001","SaCNB527_BA_c12_001","arenicola","1","GCF3069"
"SaCNB527_BA.contig_13.region001","SaCNB527_BA_c13_001","arenicola","1","GCF2047"
"SaCNB527_BA.contig_14.region001","SaCNB527_BA_c14_001","arenicola","1","GCF3040"
"SaCNB527_BA.contig_15.region001","SaCNB527_BA_c15_001","arenicola","1","GCF3313"
"SaCNB527_BA.contig_15.region002","SaCNB527_BA_c15_002","arenicola","1","GCF1937"
"SaCNB527_BA.contig_19.region001","SaCNB527_BA_c19_001","arenicola","1","GCF2038"
"SaCNB527_BA.contig_2.region001","SaCNB527_BA_c2_001","arenicola","1","GCF2045"
"SaCNB527_BA.contig_23.region001","SaCNB527_BA_c23_001","arenicola","1","GCF3537"
"SaCNB527_BA.contig_24.region001","SaCNB527_BA_c24_001","arenicola","1","GCF4008"
"SaCNB527_BA.contig_26.region001","SaCNB527_BA_c26_001","arenicola","1","GCF2010"
"SaCNB527_BA.contig_28.region001","SaCNB527_BA_c28_001","arenicola","1","GCF2165"
"SaCNB527_BA.contig_3.region001","SaCNB527_BA_c3_001","arenicola","1","GCF3059"
"SaCNB527_BA.contig_31.region001","SaCNB527_BA_c31_001","arenicola","1","GCF1947"
"SaCNB527_BA.contig_36.region001","SaCNB527_BA_c36_001","arenicola","1","GCF2025"
"SaCNB527_BA.contig_37.region001","SaCNB527_BA_c37_001","arenicola","1","GCF2890"
"SaCNB527_BA.contig_38.region001","SaCNB527_BA_c38_001","arenicola","1","GCF3394"
"SaCNB527_BA.contig_41.region001","SaCNB527_BA_c41_001","arenicola","1","GCF4423"
"SaCNB527_BA.contig_42.region001","SaCNB527_BA_c42_001","arenicola","1","GCF2030"
"SaCNB527_BA.contig_43.region001","SaCNB527_BA_c43_001","arenicola","1","GCF1847"
"SaCNB527_BA.contig_5.region001","SaCNB527_BA_c5_001","arenicola","1","GCF2040"
"SaCNB527_BA.contig_59.region001","SaCNB527_BA_c59_001","arenicola","1","GCF2044"
"SaCNB527_BA.contig_6.region001","SaCNB527_BA_c6_001","arenicola","1","GCF2530"
"SaCNB527_BA.contig_61.region001","SaCNB527_BA_c61_001","arenicola","1","GCF1851"
"SaCNB527_BA.contig_64.region001","SaCNB527_BA_c64_001","arenicola","1","GCF4420"
"SaCNB527_BA.contig_82.region001","SaCNB527_BA_c82_001","arenicola","1","GCF1853"
"SaCNB527_BA.contig_9.region001","SaCNB527_BA_c9_001","arenicola","1","GCF3436"
"SaCNH643_BA.contig_0.region001","SaCNH643_BA_c0_001","arenicola","1","GCF2557"
"SaCNH643_BA.contig_0.region002","SaCNH643_BA_c0_002","arenicola","1","GCF2165"
"SaCNH643_BA.contig_1.region001","SaCNH643_BA_c1_001","arenicola","1","GCF3394"
"SaCNH643_BA.contig_1.region002","SaCNH643_BA_c1_002","arenicola","1","GCF2890"
"SaCNH643_BA.contig_1.region003","SaCNH643_BA_c1_003","arenicola","1","GCF2025"
"SaCNH643_BA.contig_1.region004","SaCNH643_BA_c1_004","arenicola","1","GCF2010"
"SaCNH643_BA.contig_1.region005","SaCNH643_BA_c1_005","arenicola","1","GCF2046"
"SaCNH643_BA.contig_1.region006","SaCNH643_BA_c1_006","arenicola","1","GCF2047"
"SaCNH643_BA.contig_11.region001","SaCNH643_BA_c11_001","arenicola","1","GCF2042"
"SaCNH643_BA.contig_13.region001","SaCNH643_BA_c13_001","arenicola","1","GCF2040"
"SaCNH643_BA.contig_16.region001","SaCNH643_BA_c16_001","arenicola","1","GCF2022"
"SaCNH643_BA.contig_17.region001","SaCNH643_BA_c17_001","arenicola","1","GCF2027"
"SaCNH643_BA.contig_17.region002","SaCNH643_BA_c17_002","arenicola","1","GCF2538"
"SaCNH643_BA.contig_2.region001","SaCNH643_BA_c2_001","arenicola","1","GCF3439"
"SaCNH643_BA.contig_2.region002","SaCNH643_BA_c2_002","arenicola","1","GCF2939"
"SaCNH643_BA.contig_21.region001","SaCNH643_BA_c21_001","arenicola","1","GCF2769"
"SaCNH643_BA.contig_22.region001","SaCNH643_BA_c22_001","arenicola","1","GCF2031"
"SaCNH643_BA.contig_24.region001","SaCNH643_BA_c24_001","arenicola","1","GCF3070"
"SaCNH643_BA.contig_3.region001","SaCNH643_BA_c3_001","arenicola","1","GCF2547"
"SaCNH643_BA.contig_32.region001","SaCNH643_BA_c32_001","arenicola","1","GCF1958"
"SaCNH643_BA.contig_36.region001","SaCNH643_BA_c36_001","arenicola","1","GCF1947"
"SaCNH643_BA.contig_4.region001","SaCNH643_BA_c4_001","arenicola","1","GCF3059"
"SaCNH643_BA.contig_44.region001","SaCNH643_BA_c44_001","arenicola","1","GCF2014"
"SaCNH643_BA.contig_45.region001","SaCNH643_BA_c45_001","arenicola","1","GCF2044"
"SaCNH643_BA.contig_7.region001","SaCNH643_BA_c7_001","arenicola","1","GCF2045"
"SaCNH643_BA.contig_8.region001","SaCNH643_BA_c8_001","arenicola","1","GCF3313"
"SaCNH643_BA.contig_8.region002","SaCNH643_BA_c8_002","arenicola","1","GCF2030"
"SaCNH646_BA.contig_0.region001","SaCNH646_BA_c0_001","arenicola","1","GCF1947"
"SaCNH646_BA.contig_0.region002","SaCNH646_BA_c0_002","arenicola","1","GCF2047"
"SaCNH646_BA.contig_0.region003","SaCNH646_BA_c0_003","arenicola","1","GCF2046"
"SaCNH646_BA.contig_0.region004","SaCNH646_BA_c0_004","arenicola","1","GCF2010"
"SaCNH646_BA.contig_0.region005","SaCNH646_BA_c0_005","arenicola","1","GCF2025"
"SaCNH646_BA.contig_11.region001","SaCNH646_BA_c11_001","arenicola","1","GCF2042"
"SaCNH646_BA.contig_12.region001","SaCNH646_BA_c12_001","arenicola","1","GCF2022"
"SaCNH646_BA.contig_13.region001","SaCNH646_BA_c13_001","arenicola","1","GCF2027"
"SaCNH646_BA.contig_15.region001","SaCNH646_BA_c15_001","arenicola","1","GCF2030"
"SaCNH646_BA.contig_15.region002","SaCNH646_BA_c15_002","arenicola","1","GCF3313"
"SaCNH646_BA.contig_18.region001","SaCNH646_BA_c18_001","arenicola","1","GCF2031"
"SaCNH646_BA.contig_19.region001","SaCNH646_BA_c19_001","arenicola","1","GCF3059"
"SaCNH646_BA.contig_2.region001","SaCNH646_BA_c2_001","arenicola","1","GCF1915"
"SaCNH646_BA.contig_2.region002","SaCNH646_BA_c2_002","arenicola","1","GCF2547"
"SaCNH646_BA.contig_20.region001","SaCNH646_BA_c20_001","arenicola","1","GCF2030"
"SaCNH646_BA.contig_23.region001","SaCNH646_BA_c23_001","arenicola","1","GCF3070"
"SaCNH646_BA.contig_3.region001","SaCNH646_BA_c3_001","arenicola","1","GCF2939"
"SaCNH646_BA.contig_3.region002","SaCNH646_BA_c3_002","arenicola","1","GCF3439"
"SaCNH646_BA.contig_30.region001","SaCNH646_BA_c30_001","arenicola","1","GCF1958"
"SaCNH646_BA.contig_35.region001","SaCNH646_BA_c35_001","arenicola","1","GCF2044"
"SaCNH646_BA.contig_6.region001","SaCNH646_BA_c6_001","arenicola","1","GCF2557"
"SaCNH646_BA.contig_6.region002","SaCNH646_BA_c6_002","arenicola","1","GCF2165"
"SaCNH646_BA.contig_7.region001","SaCNH646_BA_c7_001","arenicola","1","GCF2423"
"SaCNH646_BA.contig_7.region002","SaCNH646_BA_c7_002","arenicola","1","GCF3551"
"SaCNH646_BA.contig_7.region003","SaCNH646_BA_c7_003","arenicola","1","GCF2040"
"SaCNH646_BA.contig_8.region001","SaCNH646_BA_c8_001","arenicola","1","GCF2045"
"SaCNH713_RS.contig_0.region001","SaCNH713_RS_c0_001","arenicola","1","GCF1947"
"SaCNH713_RS.contig_0.region002","SaCNH713_RS_c0_002","arenicola","1","GCF2047"
"SaCNH713_RS.contig_0.region003","SaCNH713_RS_c0_003","arenicola","1","GCF2046"
"SaCNH713_RS.contig_0.region004","SaCNH713_RS_c0_004","arenicola","1","GCF2010"
"SaCNH713_RS.contig_0.region005","SaCNH713_RS_c0_005","arenicola","1","GCF2025"
"SaCNH713_RS.contig_0.region006","SaCNH713_RS_c0_006","arenicola","1","GCF2040"
"SaCNH713_RS.contig_1.region001","SaCNH713_RS_c1_001","arenicola","1","GCF2042"
"SaCNH713_RS.contig_1.region002","SaCNH713_RS_c1_002","arenicola","1","GCF1915"
"SaCNH713_RS.contig_10.region001","SaCNH713_RS_c10_001","arenicola","1","GCF2022"
"SaCNH713_RS.contig_18.region001","SaCNH713_RS_c18_001","arenicola","1","GCF3070"
"SaCNH713_RS.contig_23.region001","SaCNH713_RS_c23_001","arenicola","1","GCF2943"
"SaCNH713_RS.contig_24.region001","SaCNH713_RS_c24_001","arenicola","1","GCF2559"
"SaCNH713_RS.contig_25.region001","SaCNH713_RS_c25_001","arenicola","1","GCF2044"
"SaCNH713_RS.contig_3.region001","SaCNH713_RS_c3_001","arenicola","1","GCF3059"
"SaCNH713_RS.contig_4.region001","SaCNH713_RS_c4_001","arenicola","1","GCF2547"
"SaCNH713_RS.contig_5.region001","SaCNH713_RS_c5_001","arenicola","1","GCF3439"
"SaCNH713_RS.contig_5.region002","SaCNH713_RS_c5_002","arenicola","1","GCF2414"
"SaCNH713_RS.contig_6.region001","SaCNH713_RS_c6_001","arenicola","1","GCF3313"
"SaCNH713_RS.contig_6.region002","SaCNH713_RS_c6_002","arenicola","1","GCF2030"
"SaCNH713_RS.contig_6.region003","SaCNH713_RS_c6_003","arenicola","1","GCF2031"
"SaCNH713_RS.contig_7.region001","SaCNH713_RS_c7_001","arenicola","1","GCF2557"
"SaCNH713_RS.contig_7.region002","SaCNH713_RS_c7_002","arenicola","1","GCF2165"
"SaCNH713_RS.contig_8.region001","SaCNH713_RS_c8_001","arenicola","1","GCF2045"
"SaCNH713_RS.contig_9.region001","SaCNH713_RS_c9_001","arenicola","1","GCF3537"
"SaCNH713_RS.contig_9.region002","SaCNH713_RS_c9_002","arenicola","1","GCF2027"
"SaCNH718_RS.contig_0.region001","SaCNH718_RS_c0_001","arenicola","1","GCF3059"
"SaCNH718_RS.contig_1.region001","SaCNH718_RS_c1_001","arenicola","1","GCF2547"
"SaCNH718_RS.contig_11.region001","SaCNH718_RS_c11_001","arenicola","1","GCF2530"
"SaCNH718_RS.contig_12.region001","SaCNH718_RS_c12_001","arenicola","1","GCF2165"
"SaCNH718_RS.contig_14.region001","SaCNH718_RS_c14_001","arenicola","1","GCF1937"
"SaCNH718_RS.contig_14.region002","SaCNH718_RS_c14_002","arenicola","1","GCF2172"
"SaCNH718_RS.contig_15.region001","SaCNH718_RS_c15_001","arenicola","1","GCF2031"
"SaCNH718_RS.contig_19.region001","SaCNH718_RS_c19_001","arenicola","1","GCF2538"
"SaCNH718_RS.contig_2.region001","SaCNH718_RS_c2_001","arenicola","1","GCF3069"
"SaCNH718_RS.contig_2.region002","SaCNH718_RS_c2_002","arenicola","1","GCF3327"
"SaCNH718_RS.contig_2.region003","SaCNH718_RS_c2_003","arenicola","1","GCF2047"
"SaCNH718_RS.contig_2.region004","SaCNH718_RS_c2_004","arenicola","1","GCF2046"
"SaCNH718_RS.contig_2.region005","SaCNH718_RS_c2_005","arenicola","1","GCF2010"
"SaCNH718_RS.contig_2.region006","SaCNH718_RS_c2_006","arenicola","1","GCF3071"
"SaCNH718_RS.contig_20.region001","SaCNH718_RS_c20_001","arenicola","1","GCF1947"
"SaCNH718_RS.contig_22.region001","SaCNH718_RS_c22_001","arenicola","1","GCF3070"
"SaCNH718_RS.contig_23.region001","SaCNH718_RS_c23_001","arenicola","1","GCF2559"
"SaCNH718_RS.contig_24.region001","SaCNH718_RS_c24_001","arenicola","1","GCF2557"
"SaCNH718_RS.contig_3.region001","SaCNH718_RS_c3_001","arenicola","1","GCF2428"
"SaCNH718_RS.contig_3.region002","SaCNH718_RS_c3_002","arenicola","1","GCF2414"
"SaCNH718_RS.contig_31.region001","SaCNH718_RS_c31_001","arenicola","1","GCF3394"
"SaCNH718_RS.contig_39.region001","SaCNH718_RS_c39_001","arenicola","1","GCF2014"
"SaCNH718_RS.contig_40.region001","SaCNH718_RS_c40_001","arenicola","1","GCF2044"
"SaCNH718_RS.contig_5.region001","SaCNH718_RS_c5_001","arenicola","1","GCF2045"
"SaCNH718_RS.contig_5.region002","SaCNH718_RS_c5_002","arenicola","1","GCF2686"
"SaCNH718_RS.contig_6.region001","SaCNH718_RS_c6_001","arenicola","1","GCF1958"
"SaCNH718_RS.contig_7.region001","SaCNH718_RS_c7_001","arenicola","1","GCF2040"
"SaCNH877_BA.contig_0.region001","SaCNH877_BA_c0_001","arenicola","1","GCF2414"
"SaCNH877_BA.contig_0.region002","SaCNH877_BA_c0_002","arenicola","1","GCF3439"
"SaCNH877_BA.contig_1.region001","SaCNH877_BA_c1_001","arenicola","1","GCF2547"
"SaCNH877_BA.contig_10.region001","SaCNH877_BA_c10_001","arenicola","1","GCF2040"
"SaCNH877_BA.contig_12.region001","SaCNH877_BA_c12_001","arenicola","1","GCF2042"
"SaCNH877_BA.contig_13.region001","SaCNH877_BA_c13_001","arenicola","1","GCF4061"
"SaCNH877_BA.contig_2.region001","SaCNH877_BA_c2_001","arenicola","1","GCF2022"
"SaCNH877_BA.contig_21.region001","SaCNH877_BA_c21_001","arenicola","1","GCF2027"
"SaCNH877_BA.contig_22.region001","SaCNH877_BA_c22_001","arenicola","1","GCF2031"
"SaCNH877_BA.contig_23.region001","SaCNH877_BA_c23_001","arenicola","1","GCF3059"
"SaCNH877_BA.contig_24.region001","SaCNH877_BA_c24_001","arenicola","1","GCF4046"
"SaCNH877_BA.contig_27.region001","SaCNH877_BA_c27_001","arenicola","1","GCF1971"
"SaCNH877_BA.contig_28.region001","SaCNH877_BA_c28_001","arenicola","1","GCF3070"
"SaCNH877_BA.contig_30.region001","SaCNH877_BA_c30_001","arenicola","1","GCF3419"
"SaCNH877_BA.contig_35.region001","SaCNH877_BA_c35_001","arenicola","1","GCF2038"
"SaCNH877_BA.contig_37.region001","SaCNH877_BA_c37_001","arenicola","1","GCF2010"
"SaCNH877_BA.contig_38.region001","SaCNH877_BA_c38_001","arenicola","1","GCF3394"
"SaCNH877_BA.contig_39.region001","SaCNH877_BA_c39_001","arenicola","1","GCF2559"
"SaCNH877_BA.contig_4.region001","SaCNH877_BA_c4_001","arenicola","1","GCF2046"
"SaCNH877_BA.contig_4.region002","SaCNH877_BA_c4_002","arenicola","1","GCF2047"
"SaCNH877_BA.contig_42.region001","SaCNH877_BA_c42_001","arenicola","1","GCF3509"
"SaCNH877_BA.contig_48.region001","SaCNH877_BA_c48_001","arenicola","1","GCF1981"
"SaCNH877_BA.contig_49.region001","SaCNH877_BA_c49_001","arenicola","1","GCF2014"
"SaCNH877_BA.contig_51.region001","SaCNH877_BA_c51_001","arenicola","1","GCF2044"
"SaCNH877_BA.contig_53.region001","SaCNH877_BA_c53_001","arenicola","1","GCF3416"
"SaCNH877_BA.contig_6.region001","SaCNH877_BA_c6_001","arenicola","1","GCF2045"
"SaCNH877_BA.contig_7.region001","SaCNH877_BA_c7_001","arenicola","1","GCF2165"
"SaCNH877_BA.contig_7.region002","SaCNH877_BA_c7_002","arenicola","1","GCF2557"
"SaCNH877_BA.contig_9.region001","SaCNH877_BA_c9_001","arenicola","1","GCF3313"
"SaCNH877_BA.contig_9.region002","SaCNH877_BA_c9_002","arenicola","1","GCF2030"
"SaCNH905_BA.contig_0.region001","SaCNH905_BA_c0_001","arenicola","1","GCF2165"
"SaCNH905_BA.contig_0.region002","SaCNH905_BA_c0_002","arenicola","1","GCF2557"
